JobId, startTime, endTime, duration, queueName
0,0.0,28.0,28.0,interactive0
25,0.0,34.0,34.0,batch0
26,12.0,55.0,43.0,batch0
27,28.0,123.0,95.0,batch0
1,100.0,129.0,29.0,interactive0
28,52.0,152.0,100.0,batch0
30,77.0,157.0,80.0,batch0
29,70.0,159.0,89.0,batch0
31,90.0,215.0,125.0,batch0
2,200.0,227.0,27.0,interactive0
34,145.0,257.0,112.0,batch0
33,129.0,260.0,131.0,batch0
37,196.0,263.0,67.0,batch0
36,183.0,298.0,115.0,batch0
35,160.0,311.0,151.0,batch0
3,300.0,327.0,27.0,interactive0
38,212.0,344.0,132.0,batch0
32,109.0,361.0,252.0,batch0
39,234.0,373.0,139.0,batch0
40,258.0,388.0,130.0,batch0
4,400.0,432.0,32.0,interactive0
41,282.0,436.0,154.0,batch0
42,311.0,443.0,132.0,batch0
44,349.0,455.0,106.0,batch0
45,375.0,456.0,81.0,batch0
43,325.0,471.0,146.0,batch0
46,393.0,475.0,82.0,batch0
47,413.0,487.0,74.0,batch0
49,450.0,498.0,48.0,batch0
