JobId, startTime, endTime, duration, queueName
0,0.0,69.0,69.0,interactive0
1,10.0,169.0,159.0,interactive0
40,0.0,253.0,253.0,batch0
41,1.0,266.0,265.0,batch0
2,20.0,266.0,246.0,interactive0
42,2.0,272.0,270.0,batch0
43,3.0,277.0,274.0,batch0
44,4.0,280.0,276.0,batch0
45,5.0,282.0,277.0,batch0
46,6.0,284.0,278.0,batch0
47,7.0,285.0,278.0,batch0
48,8.0,286.0,278.0,batch0
49,9.0,287.0,278.0,batch0
50,10.0,300.0,290.0,batch0
51,11.0,302.0,291.0,batch0
52,12.0,303.0,291.0,batch0
53,13.0,304.0,291.0,batch0
54,14.0,305.0,291.0,batch0
3,30.0,329.0,299.0,interactive0
4,40.0,366.0,326.0,interactive0
5,50.0,402.0,352.0,interactive0
6,60.0,433.0,373.0,interactive0
7,70.0,458.0,388.0,interactive0
8,80.0,478.0,398.0,interactive0
9,90.0,498.0,408.0,interactive0
10,100.0,517.0,417.0,interactive0
11,110.0,533.0,423.0,interactive0
12,120.0,547.0,427.0,interactive0
13,130.0,557.0,427.0,interactive0
14,140.0,567.0,427.0,interactive0
15,150.0,576.0,426.0,interactive0
16,160.0,587.0,427.0,interactive0
17,170.0,595.0,425.0,interactive0
18,180.0,603.0,423.0,interactive0
19,190.0,608.0,418.0,interactive0
20,200.0,614.0,414.0,interactive0
21,210.0,618.0,408.0,interactive0
22,220.0,623.0,403.0,interactive0
23,230.0,629.0,399.0,interactive0
24,240.0,635.0,395.0,interactive0
25,250.0,638.0,388.0,interactive0
26,260.0,641.0,381.0,interactive0
27,270.0,644.0,374.0,interactive0
28,280.0,646.0,366.0,interactive0
29,290.0,648.0,358.0,interactive0
30,300.0,652.0,352.0,interactive0
31,310.0,655.0,345.0,interactive0
32,320.0,658.0,338.0,interactive0
33,330.0,661.0,331.0,interactive0
34,340.0,663.0,323.0,interactive0
35,350.0,665.0,315.0,interactive0
36,360.0,667.0,307.0,interactive0
37,370.0,668.0,298.0,interactive0
38,380.0,670.0,290.0,interactive0
39,390.0,671.0,281.0,interactive0
