JobId, startTime, endTime, duration, queueName, startRunning, runningTime, isCPU
9,0.0,13.0,13.0,queue9,0.0,13.0,false
19,0.0,18.0,18.0,queue9,0.0,18.0,false
5,0.0,19.0,19.0,queue5,0.0,19.0,false
18,0.0,22.0,22.0,queue8,0.0,22.0,false
1,0.0,26.0,26.0,queue1,0.0,26.0,false
29,0.0,27.0,27.0,queue9,13.0,14.0,false
15,0.0,30.0,30.0,queue5,0.0,30.0,false
17,0.0,35.0,35.0,queue7,0.0,35.0,false
12,0.0,37.0,37.0,queue2,0.0,37.0,false
35,0.0,38.0,38.0,queue5,30.0,8.0,false
8,0.0,40.0,40.0,queue8,0.0,40.0,false
13,0.0,40.0,40.0,queue3,0.0,40.0,false
3,0.0,43.0,43.0,queue3,0.0,43.0,false
2,0.0,44.0,44.0,queue2,0.0,44.0,false
28,0.0,45.0,45.0,queue8,22.0,23.0,false
39,0.0,48.0,48.0,queue9,18.0,30.0,false
0,0.0,49.0,49.0,queue0,0.0,49.0,false
16,0.0,50.0,50.0,queue6,0.0,50.0,false
49,13.0,54.0,41.0,queue9,27.0,27.0,false
48,13.0,57.0,44.0,queue8,45.0,12.0,false
10,0.0,62.0,62.0,queue0,0.0,62.0,false
23,0.0,64.0,64.0,queue3,40.0,24.0,false
22,0.0,66.0,66.0,queue2,37.0,29.0,false
7,0.0,70.0,70.0,queue7,0.0,70.0,false
6,0.0,73.0,73.0,queue6,0.0,73.0,false
33,0.0,73.0,73.0,queue3,43.0,30.0,false
31,0.0,74.0,74.0,queue1,54.0,20.0,false
25,0.0,78.0,78.0,queue5,19.0,59.0,false
26,0.0,81.0,81.0,queue6,50.0,31.0,false
4,0.0,85.0,85.0,queue4,0.0,85.0,false
45,0.0,89.0,89.0,queue5,38.0,51.0,false
43,0.0,93.0,93.0,queue3,64.0,29.0,false
42,0.0,93.0,93.0,queue2,57.0,36.0,false
59,68.0,93.0,25.0,queue9,70.0,23.0,false
46,0.0,94.0,94.0,queue6,81.0,13.0,false
11,0.0,96.0,96.0,queue1,0.0,96.0,false
14,0.0,97.0,97.0,queue4,0.0,97.0,false
27,0.0,107.0,107.0,queue7,35.0,72.0,false
21,0.0,108.0,108.0,queue1,26.0,82.0,false
40,0.0,118.0,118.0,queue0,66.0,52.0,false
20,0.0,119.0,119.0,queue0,48.0,71.0,false
53,14.0,120.0,106.0,queue3,73.0,47.0,false
41,0.0,125.0,125.0,queue1,93.0,32.0,false
52,13.0,125.0,112.0,queue2,93.0,32.0,false
69,103.0,134.0,31.0,queue9,107.0,27.0,false
24,0.0,135.0,135.0,queue4,85.0,50.0,false
38,0.0,136.0,136.0,queue8,40.0,96.0,false
34,0.0,138.0,138.0,queue4,97.0,41.0,false
56,34.0,138.0,104.0,queue6,94.0,44.0,false
63,70.0,138.0,68.0,queue3,93.0,45.0,false
65,81.0,138.0,57.0,queue5,89.0,49.0,false
61,70.0,142.0,72.0,queue1,120.0,22.0,false
47,0.0,143.0,143.0,queue7,108.0,35.0,false
83,134.0,155.0,21.0,queue3,138.0,17.0,false
73,133.0,156.0,23.0,queue3,135.0,21.0,false
54,32.0,162.0,130.0,queue4,138.0,24.0,false
68,103.0,162.0,59.0,queue8,142.0,20.0,false
66,102.0,163.0,61.0,queue6,138.0,25.0,false
50,13.0,164.0,151.0,queue0,118.0,46.0,false
60,70.0,168.0,98.0,queue0,119.0,49.0,false
89,146.0,169.0,23.0,queue9,155.0,14.0,false
81,133.0,171.0,38.0,queue1,156.0,15.0,false
44,0.0,173.0,173.0,queue4,136.0,37.0,false
71,122.0,176.0,54.0,queue1,125.0,51.0,false
75,133.0,177.0,44.0,queue5,138.0,39.0,false
