JobId, startTime, endTime, duration, queueName
0,0.0,2.0,2.0,interactive0
1,10.0,12.0,2.0,interactive0
2,20.0,22.0,2.0,interactive0
3,30.0,32.0,2.0,interactive0
4,40.0,42.0,2.0,interactive0
5,50.0,52.0,2.0,interactive0
6,60.0,62.0,2.0,interactive0
7,70.0,72.0,2.0,interactive0
8,80.0,82.0,2.0,interactive0
9,90.0,92.0,2.0,interactive0
20,1.0,210.0,209.0,batch1
21,2.0,210.0,208.0,batch1
10,0.0,214.0,214.0,batch0
11,1.0,214.0,213.0,batch0
12,2.0,214.0,212.0,batch0
22,3.0,214.0,211.0,batch1
13,3.0,216.0,213.0,batch0
23,4.0,216.0,212.0,batch1
14,4.0,218.0,214.0,batch0
24,5.0,218.0,213.0,batch1
25,6.0,219.0,213.0,batch1
15,5.0,220.0,215.0,batch0
16,6.0,221.0,215.0,batch0
26,7.0,221.0,214.0,batch1
17,7.0,222.0,215.0,batch0
27,8.0,222.0,214.0,batch1
18,8.0,223.0,215.0,batch0
28,9.0,223.0,214.0,batch1
19,9.0,224.0,215.0,batch0
29,10.0,224.0,214.0,batch1
