JobId, startTime, endTime, duration, queueName
0,0.0,27.0,27.0,bursty0
54,23.0,56.0,33.0,bursty2
100001,72.0,130.0,58.0,batch0
100000,0.0,199.0,199.0,batch0
55,50.0,202.0,152.0,bursty2
100002,83.0,287.0,204.0,batch0
100003,137.0,357.0,220.0,batch0
100006,326.0,371.0,45.0,batch0
100004,236.0,451.0,215.0,batch0
100007,326.0,569.0,243.0,batch0
100009,542.0,571.0,29.0,batch0
100008,541.0,580.0,39.0,batch0
100010,542.0,731.0,189.0,batch0
1,807.0,876.0,69.0,bursty0
100005,311.0,889.0,578.0,batch0
100011,586.0,924.0,338.0,batch0
100013,999.0,1033.0,34.0,batch0
100012,686.0,1051.0,365.0,batch0
52,1000.0,1051.0,51.0,bursty1
100014,999.0,1069.0,70.0,batch0
100015,999.0,1157.0,158.0,batch0
100017,1077.0,1158.0,81.0,batch0
100016,1054.0,1166.0,112.0,batch0
100018,1077.0,1292.0,215.0,batch0
53,1300.0,1348.0,48.0,bursty1
100019,1164.0,1408.0,244.0,batch0
100020,1289.0,1513.0,224.0,batch0
100021,1352.0,1575.0,223.0,batch0
2,1600.0,1629.0,29.0,bursty0
100022,1511.0,1685.0,174.0,batch0
100023,1556.0,1794.0,238.0,batch0
100024,1692.0,1804.0,112.0,batch0
100025,1692.0,1810.0,118.0,batch0
100026,1721.0,1887.0,166.0,batch0
100029,1807.0,1980.0,173.0,batch0
100030,1904.0,2014.0,110.0,batch0
100033,1979.0,2017.0,38.0,batch0
100032,1979.0,2024.0,45.0,batch0
100034,1979.0,2060.0,81.0,batch0
100035,2003.0,2165.0,162.0,batch0
100036,2082.0,2193.0,111.0,batch0
100038,2199.0,2240.0,41.0,batch0
100037,2110.0,2348.0,238.0,batch0
3,2400.0,2452.0,52.0,bursty0
100031,1979.0,2515.0,536.0,batch0
100039,2199.0,2518.0,319.0,batch0
100040,2346.0,2638.0,292.0,batch0
100041,2517.0,2697.0,180.0,batch0
100027,1806.0,2727.0,921.0,batch0
100045,2741.0,2789.0,48.0,batch0
100028,1806.0,2804.0,998.0,batch0
100042,2636.0,2839.0,203.0,batch0
100043,2741.0,2872.0,131.0,batch0
100048,2887.0,3026.0,139.0,batch0
100047,2742.0,3055.0,313.0,batch0
100050,2888.0,3132.0,244.0,batch0
100052,3055.0,3195.0,140.0,batch0
100051,3055.0,3214.0,159.0,batch0
4,3200.0,3252.0,52.0,bursty0
100044,2741.0,3277.0,536.0,batch0
100055,3279.0,3354.0,75.0,batch0
100053,3129.0,3412.0,283.0,batch0
100054,3193.0,3418.0,225.0,batch0
100059,3610.0,3637.0,27.0,batch0
100060,3610.0,3645.0,35.0,batch0
100062,3631.0,3659.0,28.0,batch0
100056,3279.0,3660.0,381.0,batch0
100046,2742.0,3705.0,963.0,batch0
100061,3610.0,3763.0,153.0,batch0
100057,3412.0,3771.0,359.0,batch0
100058,3420.0,3791.0,371.0,batch0
100063,3632.0,3835.0,203.0,batch0
100064,3767.0,3925.0,158.0,batch0
100049,2888.0,3946.0,1058.0,batch0
100066,3925.0,3952.0,27.0,batch0
100065,3816.0,3973.0,157.0,batch0
100067,3925.0,4081.0,156.0,batch0
5,4008.0,4086.0,78.0,bursty0
100069,3973.0,4114.0,141.0,batch0
100070,4074.0,4175.0,101.0,batch0
100071,4093.0,4311.0,218.0,batch0
100073,4159.0,4437.0,278.0,batch0
100074,4276.0,4580.0,304.0,batch0
100075,4403.0,4717.0,314.0,batch0
100076,4580.0,4717.0,137.0,batch0
6,4800.0,4853.0,53.0,bursty0
100077,4580.0,4945.0,365.0,batch0
100068,3973.0,4986.0,1013.0,batch0
100079,4762.0,5105.0,343.0,batch0
100072,4159.0,5113.0,954.0,batch0
100080,4882.0,5150.0,268.0,batch0
100081,5116.0,5185.0,69.0,batch0
100083,5197.0,5276.0,79.0,batch0
100082,5129.0,5277.0,148.0,batch0
100078,4727.0,5298.0,571.0,batch0
100084,5235.0,5372.0,137.0,batch0
100085,5272.0,5437.0,165.0,batch0
100088,5404.0,5478.0,74.0,batch0
100086,5370.0,5544.0,174.0,batch0
100089,5404.0,5638.0,234.0,batch0
7,5600.0,5657.0,57.0,bursty0
100090,5513.0,5678.0,165.0,batch0
100091,5553.0,5774.0,221.0,batch0
100094,5846.0,6000.0,154.0,batch0
100092,5647.0,6006.0,359.0,batch0
100093,5676.0,6062.0,386.0,batch0
100095,5846.0,6152.0,306.0,batch0
100098,6005.0,6321.0,316.0,batch0
100097,5889.0,6326.0,437.0,batch0
100087,5404.0,6340.0,936.0,batch0
100099,6067.0,6393.0,326.0,batch0
8,6400.0,6452.0,52.0,bursty0
100096,5889.0,6943.0,1054.0,batch0
