JobId, startTime, endTime, duration, queueName
0,0.0,27.0,27.0,interactive0
10,0.0,56.0,56.0,batch1
5,0.0,63.0,63.0,batch0
15,0.0,134.0,134.0,batch2
1,100.0,134.0,34.0,interactive0
16,0.0,154.0,154.0,batch2
11,0.0,163.0,163.0,batch1
6,0.0,164.0,164.0,batch0
17,1.0,251.0,250.0,batch2
2,200.0,256.0,56.0,interactive0
7,0.0,260.0,260.0,batch0
12,0.0,342.0,342.0,batch1
3,300.0,354.0,54.0,interactive0
18,1.0,367.0,366.0,batch2
8,0.0,372.0,372.0,batch0
13,0.0,398.0,398.0,batch1
14,0.0,399.0,399.0,batch1
4,400.0,430.0,30.0,interactive0
9,0.0,433.0,433.0,batch0
19,1.0,434.0,433.0,batch2
