JobId, startTime, endTime, duration, queueName
10,0.0,6.0,6.0,interactive2
5,0.0,12.0,12.0,interactive1
0,0.0,18.0,18.0,interactive0
15,0.0,34.0,34.0,batch0
11,50.0,57.0,7.0,interactive2
6,50.0,64.0,14.0,interactive1
1,50.0,69.0,19.0,interactive0
16,18.0,79.0,61.0,batch0
12,100.0,113.0,13.0,interactive2
7,100.0,118.0,18.0,interactive1
2,100.0,123.0,23.0,interactive0
17,42.0,128.0,86.0,batch0
13,150.0,161.0,11.0,interactive2
8,150.0,166.0,16.0,interactive1
3,150.0,171.0,21.0,interactive0
18,63.0,176.0,113.0,batch0
19,87.0,191.0,104.0,batch0
20,110.0,195.0,85.0,batch0
14,200.0,214.0,14.0,interactive2
9,200.0,223.0,23.0,interactive1
4,200.0,231.0,31.0,interactive0
21,127.0,286.0,159.0,batch0
22,145.0,300.0,155.0,batch0
23,164.0,322.0,158.0,batch0
