JobId, startTime, endTime, duration, queueName
0,0.0,73.0,73.0,interactive0
14,0.0,85.0,85.0,batch1
5,0.0,92.0,92.0,batch0
15,30.0,152.0,122.0,batch1
1,50.0,152.0,102.0,interactive0
16,59.0,197.0,138.0,batch1
2,100.0,223.0,123.0,interactive0
6,18.0,284.0,266.0,batch0
7,42.0,300.0,258.0,batch0
17,84.0,305.0,221.0,batch1
18,105.0,374.0,269.0,batch1
8,63.0,389.0,326.0,batch0
3,150.0,407.0,257.0,interactive0
9,87.0,445.0,358.0,batch0
19,126.0,449.0,323.0,batch1
10,110.0,460.0,350.0,batch0
20,148.0,487.0,339.0,batch1
21,167.0,570.0,403.0,batch1
11,127.0,596.0,469.0,batch0
4,200.0,637.0,437.0,interactive0
22,187.0,641.0,454.0,batch1
12,145.0,666.0,521.0,batch0
13,164.0,676.0,512.0,batch0
