JobId, startTime, endTime, duration, queueName
0,0.0,52.0,52.0,interactive0
1,50.0,105.0,55.0,interactive0
2,100.0,158.0,58.0,interactive0
3,150.0,209.0,59.0,interactive0
4,200.0,256.0,56.0,interactive0
23,0.0,269.0,269.0,batch2
14,0.0,285.0,285.0,batch1
5,0.0,303.0,303.0,batch0
24,23.0,316.0,293.0,batch2
15,30.0,358.0,328.0,batch1
25,35.0,372.0,337.0,batch2
16,59.0,383.0,324.0,batch1
26,54.0,392.0,338.0,batch2
32,0.0,397.0,397.0,batch3
27,71.0,404.0,333.0,batch2
28,98.0,438.0,340.0,batch2
6,18.0,445.0,427.0,batch0
29,123.0,498.0,375.0,batch2
7,42.0,502.0,460.0,batch0
17,84.0,509.0,425.0,batch1
33,27.0,533.0,506.0,batch3
30,144.0,540.0,396.0,batch2
34,46.0,574.0,528.0,batch3
8,63.0,609.0,546.0,batch0
18,105.0,612.0,507.0,batch1
31,172.0,665.0,493.0,batch2
35,64.0,705.0,641.0,batch3
9,87.0,714.0,627.0,batch0
36,81.0,716.0,635.0,batch3
19,126.0,724.0,598.0,batch1
10,110.0,729.0,619.0,batch0
20,148.0,770.0,622.0,batch1
37,99.0,836.0,737.0,batch3
38,114.0,869.0,755.0,batch3
21,167.0,876.0,709.0,batch1
39,139.0,883.0,744.0,batch3
11,127.0,900.0,773.0,batch0
40,160.0,930.0,770.0,batch3
22,187.0,957.0,770.0,batch1
12,145.0,958.0,813.0,batch0
13,164.0,978.0,814.0,batch0
