JobId, startTime, endTime, duration, queueName
0,0.0,11.0,11.0,interactive0
23,0.0,15.0,15.0,batch2
14,0.0,22.0,22.0,batch1
5,0.0,32.0,32.0,batch0
1,50.0,61.0,11.0,interactive0
24,23.0,67.0,44.0,batch2
15,30.0,89.0,59.0,batch1
25,35.0,111.0,76.0,batch2
2,100.0,112.0,12.0,interactive0
16,59.0,125.0,66.0,batch1
26,54.0,127.0,73.0,batch2
6,18.0,139.0,121.0,batch0
27,71.0,143.0,72.0,batch2
3,150.0,162.0,12.0,interactive0
28,98.0,166.0,68.0,batch2
7,42.0,196.0,154.0,batch0
4,200.0,212.0,12.0,interactive0
29,123.0,221.0,98.0,batch2
17,84.0,244.0,160.0,batch1
30,144.0,250.0,106.0,batch2
8,63.0,279.0,216.0,batch0
18,105.0,315.0,210.0,batch1
31,172.0,346.0,174.0,batch2
9,87.0,356.0,269.0,batch0
10,110.0,370.0,260.0,batch0
19,126.0,391.0,265.0,batch1
20,148.0,430.0,282.0,batch1
11,127.0,459.0,332.0,batch0
21,167.0,489.0,322.0,batch1
12,145.0,534.0,389.0,batch0
22,187.0,561.0,374.0,batch1
13,164.0,568.0,404.0,batch0
