JobId, startTime, endTime, duration, queueName
0,0.0,16.0,16.0,interactive0
23,0.0,16.0,16.0,batch2
14,0.0,21.0,21.0,batch1
5,0.0,28.0,28.0,batch0
24,23.0,67.0,44.0,batch2
1,50.0,69.0,19.0,interactive0
15,30.0,85.0,55.0,batch1
25,35.0,109.0,74.0,batch2
2,100.0,121.0,21.0,interactive0
26,54.0,130.0,76.0,batch2
16,59.0,130.0,71.0,batch1
6,18.0,134.0,116.0,batch0
27,71.0,139.0,68.0,batch2
28,98.0,167.0,69.0,batch2
3,150.0,171.0,21.0,interactive0
7,42.0,188.0,146.0,batch0
29,123.0,220.0,97.0,batch2
4,200.0,221.0,21.0,interactive0
17,84.0,235.0,151.0,batch1
30,144.0,250.0,106.0,batch2
8,63.0,281.0,218.0,batch0
18,105.0,314.0,209.0,batch1
31,172.0,344.0,172.0,batch2
9,87.0,353.0,266.0,batch0
10,110.0,366.0,256.0,batch0
19,126.0,388.0,262.0,batch1
20,148.0,428.0,280.0,batch1
11,127.0,473.0,346.0,batch0
21,167.0,482.0,315.0,batch1
12,145.0,544.0,399.0,batch0
22,187.0,551.0,364.0,batch1
13,164.0,565.0,401.0,batch0
