JobId, startTime, endTime, duration, queueName
0,0.0,26.0,26.0,interactive0
5,0.0,26.0,26.0,interactive1
15,0.0,26.0,26.0,interactive3
10,0.0,26.0,26.0,interactive2
20,0.0,35.0,35.0,batch0
11,50.0,76.0,26.0,interactive2
16,50.0,76.0,26.0,interactive3
6,50.0,79.0,29.0,interactive1
1,50.0,79.0,29.0,interactive0
21,18.0,100.0,82.0,batch0
22,42.0,124.0,82.0,batch0
12,100.0,126.0,26.0,interactive2
2,100.0,126.0,26.0,interactive0
17,100.0,126.0,26.0,interactive3
7,100.0,126.0,26.0,interactive1
8,150.0,178.0,28.0,interactive1
18,150.0,178.0,28.0,interactive3
13,150.0,178.0,28.0,interactive2
3,150.0,178.0,28.0,interactive0
23,63.0,193.0,130.0,batch0
24,87.0,223.0,136.0,batch0
25,110.0,229.0,119.0,batch0
14,200.0,229.0,29.0,interactive2
9,200.0,229.0,29.0,interactive1
4,200.0,229.0,29.0,interactive0
19,200.0,229.0,29.0,interactive3
26,127.0,266.0,139.0,batch0
28,164.0,334.0,170.0,batch0
27,145.0,358.0,213.0,batch0
