JobId, startTime, endTime, duration, queueName
0,0.0,28.0,28.0,interactive0
25,0.0,39.0,39.0,batch0
26,12.0,61.0,49.0,batch1
27,28.0,96.0,68.0,batch2
30,77.0,108.0,31.0,batch5
1,100.0,133.0,33.0,interactive0
28,52.0,172.0,120.0,batch3
34,145.0,177.0,32.0,batch1
2,200.0,242.0,42.0,interactive0
29,70.0,248.0,178.0,batch4
37,196.0,255.0,59.0,batch4
31,90.0,262.0,172.0,batch6
35,160.0,267.0,107.0,batch2
36,183.0,278.0,95.0,batch3
3,300.0,333.0,33.0,interactive0
33,129.0,335.0,206.0,batch0
32,109.0,337.0,228.0,batch7
44,349.0,371.0,22.0,batch3
38,212.0,378.0,166.0,batch5
45,375.0,392.0,17.0,batch4
41,282.0,402.0,120.0,batch0
39,234.0,411.0,177.0,batch6
4,400.0,428.0,28.0,interactive0
46,393.0,457.0,64.0,batch5
42,311.0,458.0,147.0,batch1
43,325.0,467.0,142.0,batch2
47,413.0,469.0,56.0,batch6
40,258.0,471.0,213.0,batch7
49,450.0,473.0,23.0,batch0
50,466.0,490.0,24.0,batch1
48,432.0,494.0,62.0,batch7
5,500.0,527.0,27.0,interactive0
51,486.0,549.0,63.0,batch2
52,510.0,565.0,55.0,batch3
53,525.0,591.0,66.0,batch4
6,600.0,628.0,28.0,interactive0
58,616.0,649.0,33.0,batch1
54,544.0,650.0,106.0,batch5
56,579.0,651.0,72.0,batch7
55,560.0,662.0,102.0,batch6
61,668.0,696.0,28.0,batch4
60,651.0,702.0,51.0,batch3
57,595.0,707.0,112.0,batch0
63,710.0,728.0,18.0,batch6
7,700.0,729.0,29.0,interactive0
59,638.0,757.0,119.0,batch2
62,683.0,773.0,90.0,batch5
66,764.0,775.0,11.0,batch1
8,800.0,841.0,41.0,interactive0
69,816.0,856.0,40.0,batch4
67,779.0,878.0,99.0,batch2
68,796.0,896.0,100.0,batch3
71,859.0,910.0,51.0,batch6
65,747.0,919.0,172.0,batch0
64,728.0,924.0,196.0,batch7
9,900.0,927.0,27.0,interactive0
70,840.0,933.0,93.0,batch5
72,869.0,955.0,86.0,batch7
74,913.0,990.0,77.0,batch1
77,985.0,1001.0,16.0,batch4
73,889.0,1003.0,114.0,batch0
10,1000.0,1027.0,27.0,interactive0
75,938.0,1038.0,100.0,batch2
76,965.0,1069.0,104.0,batch3
80,1038.0,1090.0,52.0,batch7
11,1100.0,1129.0,29.0,interactive0
82,1085.0,1130.0,45.0,batch1
78,1003.0,1134.0,131.0,batch5
81,1062.0,1147.0,85.0,batch0
79,1020.0,1161.0,141.0,batch6
84,1129.0,1166.0,37.0,batch3
83,1104.0,1188.0,84.0,batch2
85,1145.0,1210.0,65.0,batch4
12,1200.0,1227.0,27.0,interactive0
86,1170.0,1238.0,68.0,batch5
87,1190.0,1263.0,73.0,batch6
88,1211.0,1263.0,52.0,batch7
91,1288.0,1299.0,11.0,batch2
13,1300.0,1327.0,27.0,interactive0
90,1270.0,1342.0,72.0,batch1
93,1322.0,1411.0,89.0,batch4
96,1384.0,1428.0,44.0,batch7
94,1342.0,1441.0,99.0,batch5
14,1400.0,1441.0,41.0,interactive0
89,1240.0,1447.0,207.0,batch0
98,1437.0,1449.0,12.0,batch1
97,1418.0,1455.0,37.0,batch0
95,1362.0,1475.0,113.0,batch6
101,1499.0,1525.0,26.0,batch4
92,1307.0,1526.0,219.0,batch3
15,1500.0,1531.0,31.0,interactive0
99,1452.0,1544.0,92.0,batch2
102,1520.0,1544.0,24.0,batch5
103,1531.0,1581.0,50.0,batch6
106,1590.0,1635.0,45.0,batch1
16,1600.0,1641.0,41.0,interactive0
104,1556.0,1650.0,94.0,batch7
109,1645.0,1659.0,14.0,batch4
108,1629.0,1666.0,37.0,batch3
107,1608.0,1674.0,66.0,batch2
100,1474.0,1675.0,201.0,batch3
17,1700.0,1727.0,27.0,interactive0
110,1669.0,1756.0,87.0,batch5
105,1579.0,1775.0,196.0,batch0
111,1686.0,1782.0,96.0,batch6
116,1780.0,1831.0,51.0,batch3
18,1800.0,1841.0,41.0,interactive0
112,1705.0,1845.0,140.0,batch7
114,1740.0,1852.0,112.0,batch1
120,1848.0,1868.0,20.0,batch7
113,1725.0,1870.0,145.0,batch0
119,1830.0,1886.0,56.0,batch6
117,1796.0,1907.0,111.0,batch4
118,1811.0,1907.0,96.0,batch5
19,1900.0,1932.0,32.0,interactive0
122,1885.0,1935.0,50.0,batch1
126,1960.0,1978.0,18.0,batch5
115,1758.0,1982.0,224.0,batch2
121,1869.0,1983.0,114.0,batch0
125,1942.0,1988.0,46.0,batch4
127,1979.0,1990.0,11.0,batch6
124,1920.0,2028.0,108.0,batch3
20,2000.0,2030.0,30.0,interactive0
123,1903.0,2054.0,151.0,batch2
129,2020.0,2078.0,58.0,batch0
128,2000.0,2093.0,93.0,batch7
130,2033.0,2115.0,82.0,batch1
21,2100.0,2142.0,42.0,interactive0
132,2076.0,2151.0,75.0,batch3
134,2119.0,2172.0,53.0,batch5
135,2131.0,2181.0,50.0,batch6
131,2054.0,2185.0,131.0,batch2
136,2149.0,2199.0,50.0,batch7
22,2200.0,2232.0,32.0,interactive0
133,2095.0,2247.0,152.0,batch4
137,2170.0,2293.0,123.0,batch0
138,2190.0,2294.0,104.0,batch1
142,2268.0,2304.0,36.0,batch5
23,2300.0,2333.0,33.0,interactive0
140,2229.0,2355.0,126.0,batch3
139,2208.0,2397.0,189.0,batch2
141,2248.0,2410.0,162.0,batch4
24,2400.0,2440.0,40.0,interactive0
144,2310.0,2453.0,143.0,batch7
143,2296.0,2490.0,194.0,batch6
148,2386.0,2494.0,108.0,batch3
151,2443.0,2530.0,87.0,batch6
152,2462.0,2540.0,78.0,batch7
149,2405.0,2549.0,144.0,batch4
146,2346.0,2553.0,207.0,batch1
156,2555.0,2566.0,11.0,batch3
147,2372.0,2584.0,212.0,batch2
150,2425.0,2585.0,160.0,batch5
155,2525.0,2598.0,73.0,batch2
153,2481.0,2607.0,126.0,batch0
158,2598.0,2609.0,11.0,batch5
157,2575.0,2620.0,45.0,batch4
145,2326.0,2621.0,295.0,batch0
159,2619.0,2669.0,50.0,batch6
161,2651.0,2713.0,62.0,batch0
162,2676.0,2716.0,40.0,batch1
154,2505.0,2718.0,213.0,batch1
160,2633.0,2733.0,100.0,batch7
166,2747.0,2765.0,18.0,batch5
163,2693.0,2770.0,77.0,batch2
164,2709.0,2786.0,77.0,batch3
165,2731.0,2819.0,88.0,batch4
171,2842.0,2862.0,20.0,batch2
167,2773.0,2872.0,99.0,batch6
169,2808.0,2878.0,70.0,batch0
