JobId, startTime, endTime, duration, queueName
0,0.0,14.0,14.0,interactive0
25,0.0,42.0,42.0,batch0
26,12.0,64.0,52.0,batch1
27,28.0,96.0,68.0,batch2
30,77.0,118.0,41.0,batch1
1,100.0,125.0,25.0,interactive0
34,145.0,170.0,25.0,batch1
28,52.0,188.0,136.0,batch3
31,90.0,201.0,111.0,batch2
29,70.0,223.0,153.0,batch0
2,200.0,237.0,37.0,interactive0
35,160.0,256.0,96.0,batch2
33,129.0,307.0,178.0,batch0
37,196.0,314.0,118.0,batch0
3,300.0,326.0,26.0,interactive0
36,183.0,327.0,144.0,batch3
38,212.0,359.0,147.0,batch1
32,109.0,371.0,262.0,batch3
39,234.0,386.0,152.0,batch2
41,282.0,390.0,108.0,batch0
45,375.0,394.0,19.0,batch0
4,400.0,417.0,17.0,interactive0
42,311.0,456.0,145.0,batch1
40,258.0,462.0,204.0,batch3
43,325.0,464.0,139.0,batch2
44,349.0,466.0,117.0,batch3
49,450.0,472.0,22.0,batch0
46,393.0,481.0,88.0,batch1
47,413.0,489.0,76.0,batch2
48,432.0,489.0,57.0,batch3
50,466.0,496.0,30.0,batch1
5,500.0,527.0,27.0,interactive0
51,486.0,565.0,79.0,batch2
52,510.0,565.0,55.0,batch3
53,525.0,592.0,67.0,batch0
6,600.0,619.0,19.0,interactive0
54,544.0,646.0,102.0,batch1
56,579.0,646.0,67.0,batch3
58,616.0,657.0,41.0,batch1
55,560.0,670.0,110.0,batch2
60,651.0,693.0,42.0,batch3
57,595.0,695.0,100.0,batch0
61,668.0,717.0,49.0,batch0
7,700.0,729.0,29.0,interactive0
63,710.0,751.0,41.0,batch2
59,638.0,757.0,119.0,batch2
62,683.0,763.0,80.0,batch1
66,764.0,775.0,11.0,batch1
8,800.0,831.0,31.0,interactive0
69,816.0,863.0,47.0,batch0
67,779.0,868.0,89.0,batch2
64,728.0,881.0,153.0,batch3
9,900.0,918.0,18.0,interactive0
71,859.0,919.0,60.0,batch2
