JobId, startTime, endTime, duration, queueName
0,0.0,14.0,14.0,interactive0
25,0.0,35.0,35.0,batch0
26,12.0,55.0,43.0,batch0
27,28.0,123.0,95.0,batch0
1,100.0,127.0,27.0,interactive0
28,52.0,153.0,101.0,batch0
30,77.0,157.0,80.0,batch0
29,70.0,159.0,89.0,batch0
31,90.0,220.0,130.0,batch0
2,200.0,228.0,28.0,interactive0
34,145.0,258.0,113.0,batch0
33,129.0,261.0,132.0,batch0
37,196.0,265.0,69.0,batch0
35,160.0,299.0,139.0,batch0
36,183.0,301.0,118.0,batch0
3,300.0,317.0,17.0,interactive0
38,212.0,346.0,134.0,batch0
32,109.0,361.0,252.0,batch0
39,234.0,382.0,148.0,batch0
40,258.0,393.0,135.0,batch0
4,400.0,428.0,28.0,interactive0
41,282.0,439.0,157.0,batch0
42,311.0,440.0,129.0,batch0
43,325.0,467.0,142.0,batch0
45,375.0,468.0,93.0,batch0
44,349.0,470.0,121.0,batch0
46,393.0,483.0,90.0,batch0
47,413.0,494.0,81.0,batch0
48,432.0,514.0,82.0,batch0
49,450.0,516.0,66.0,batch0
50,466.0,519.0,53.0,batch0
5,500.0,522.0,22.0,interactive0
51,486.0,564.0,78.0,batch0
52,510.0,568.0,58.0,batch0
53,525.0,572.0,47.0,batch0
6,600.0,616.0,16.0,interactive0
54,544.0,619.0,75.0,batch0
55,560.0,643.0,83.0,batch0
56,579.0,647.0,68.0,batch0
58,616.0,684.0,68.0,batch0
57,595.0,701.0,106.0,batch0
7,700.0,725.0,25.0,interactive0
59,638.0,737.0,99.0,batch0
60,651.0,746.0,95.0,batch0
61,668.0,752.0,84.0,batch0
63,710.0,755.0,45.0,batch0
66,764.0,775.0,11.0,batch0
62,683.0,798.0,115.0,batch0
8,800.0,830.0,30.0,interactive0
67,779.0,868.0,89.0,batch0
68,796.0,886.0,90.0,batch0
69,816.0,895.0,79.0,batch0
64,728.0,907.0,179.0,batch0
65,747.0,910.0,163.0,batch0
9,900.0,927.0,27.0,interactive0
70,840.0,934.0,94.0,batch0
71,859.0,935.0,76.0,batch0
72,869.0,958.0,89.0,batch0
73,889.0,974.0,85.0,batch0
74,913.0,981.0,68.0,batch0
10,1000.0,1017.0,17.0,interactive0
75,938.0,1025.0,87.0,batch0
77,985.0,1029.0,44.0,batch0
76,965.0,1057.0,92.0,batch0
78,1003.0,1095.0,92.0,batch0
11,1100.0,1122.0,22.0,interactive0
79,1020.0,1125.0,105.0,batch0
80,1038.0,1135.0,97.0,batch0
82,1085.0,1177.0,92.0,batch0
83,1104.0,1185.0,81.0,batch0
84,1129.0,1189.0,60.0,batch0
81,1062.0,1196.0,134.0,batch0
12,1200.0,1220.0,20.0,interactive0
85,1145.0,1237.0,92.0,batch0
86,1170.0,1265.0,95.0,batch0
87,1190.0,1272.0,82.0,batch0
88,1211.0,1275.0,64.0,batch0
91,1288.0,1299.0,11.0,batch0
13,1300.0,1318.0,18.0,interactive0
90,1270.0,1337.0,67.0,batch0
93,1322.0,1382.0,60.0,batch0
14,1400.0,1431.0,31.0,interactive0
94,1342.0,1436.0,94.0,batch0
89,1240.0,1445.0,205.0,batch0
96,1384.0,1446.0,62.0,batch0
98,1437.0,1454.0,17.0,batch0
97,1418.0,1457.0,39.0,batch0
95,1362.0,1474.0,112.0,batch0
