JobId, startTime, endTime, duration, queueName
0,0.0,28.0,28.0,interactive0
25,0.0,39.0,39.0,batch0
26,11.0,66.0,55.0,batch1
27,29.0,103.0,74.0,batch2
30,76.0,108.0,32.0,batch5
1,100.0,127.0,27.0,interactive0
33,126.0,161.0,35.0,batch8
28,49.0,190.0,141.0,batch3
29,66.0,198.0,132.0,batch4
2,200.0,241.0,41.0,interactive0
34,150.0,257.0,107.0,batch9
31,92.0,258.0,166.0,batch6
35,164.0,259.0,95.0,batch10
42,288.0,324.0,36.0,batch1
32,111.0,328.0,217.0,batch7
3,300.0,340.0,40.0,interactive0
39,236.0,347.0,111.0,batch14
46,345.0,393.0,48.0,batch5
36,180.0,397.0,217.0,batch11
45,335.0,400.0,65.0,batch4
43,301.0,409.0,108.0,batch2
37,193.0,410.0,217.0,batch12
44,316.0,417.0,101.0,batch3
47,361.0,423.0,62.0,batch6
38,218.0,440.0,222.0,batch13
4,400.0,440.0,40.0,interactive0
40,255.0,464.0,209.0,batch15
41,274.0,477.0,203.0,batch0
49,389.0,482.0,93.0,batch8
48,376.0,504.0,128.0,batch7
5,500.0,532.0,32.0,interactive0
53,466.0,536.0,70.0,batch12
55,510.0,550.0,40.0,batch14
50,408.0,575.0,167.0,batch9
51,427.0,591.0,164.0,batch10
58,573.0,602.0,29.0,batch1
57,548.0,622.0,74.0,batch0
52,456.0,625.0,169.0,batch11
6,600.0,640.0,40.0,interactive0
54,490.0,668.0,178.0,batch13
62,637.0,679.0,42.0,batch5
59,586.0,694.0,108.0,batch2
60,602.0,711.0,109.0,batch3
64,666.0,717.0,51.0,batch7
7,700.0,740.0,40.0,interactive0
56,528.0,751.0,223.0,batch15
63,649.0,755.0,106.0,batch6
65,674.0,779.0,105.0,batch8
61,615.0,783.0,168.0,batch4
8,800.0,840.0,40.0,interactive0
74,818.0,897.0,79.0,batch1
72,784.0,913.0,129.0,batch15
66,692.0,919.0,227.0,batch9
9,900.0,953.0,53.0,interactive0
67,708.0,966.0,258.0,batch10
76,841.0,974.0,133.0,batch3
73,801.0,980.0,179.0,batch0
68,724.0,1005.0,281.0,batch11
69,736.0,1007.0,271.0,batch12
70,751.0,1033.0,282.0,batch13
80,899.0,1053.0,154.0,batch7
10,1000.0,1053.0,53.0,interactive0
85,984.0,1073.0,89.0,batch12
78,874.0,1077.0,203.0,batch5
79,887.0,1078.0,191.0,batch6
77,856.0,1081.0,225.0,batch4
88,1038.0,1088.0,50.0,batch15
86,998.0,1097.0,99.0,batch13
75,827.0,1131.0,304.0,batch2
81,914.0,1131.0,217.0,batch8
11,1100.0,1142.0,42.0,interactive0
83,947.0,1160.0,213.0,batch10
71,771.0,1167.0,396.0,batch14
91,1099.0,1170.0,71.0,batch2
92,1111.0,1182.0,71.0,batch3
84,968.0,1184.0,216.0,batch11
82,930.0,1195.0,265.0,batch9
90,1080.0,1213.0,133.0,batch1
93,1131.0,1213.0,82.0,batch4
12,1200.0,1240.0,40.0,interactive0
89,1048.0,1256.0,208.0,batch0
99,1237.0,1298.0,61.0,batch10
95,1172.0,1329.0,157.0,batch6
13,1300.0,1345.0,45.0,interactive0
87,1013.0,1352.0,339.0,batch14
102,1290.0,1358.0,68.0,batch13
98,1223.0,1375.0,152.0,batch9
94,1153.0,1376.0,223.0,batch5
100,1255.0,1376.0,121.0,batch11
103,1303.0,1376.0,73.0,batch14
96,1191.0,1413.0,222.0,batch7
101,1276.0,1415.0,139.0,batch12
105,1330.0,1425.0,95.0,batch0
109,1402.0,1440.0,38.0,batch4
14,1400.0,1441.0,41.0,interactive0
97,1207.0,1444.0,237.0,batch8
108,1387.0,1450.0,63.0,batch3
104,1314.0,1519.0,205.0,batch15
111,1426.0,1521.0,95.0,batch6
15,1500.0,1540.0,40.0,interactive0
107,1369.0,1597.0,228.0,batch2
117,1531.0,1607.0,76.0,batch12
106,1345.0,1625.0,280.0,batch1
115,1501.0,1626.0,125.0,batch10
116,1514.0,1634.0,120.0,batch11
110,1413.0,1641.0,228.0,batch5
16,1600.0,1645.0,45.0,interactive0
114,1486.0,1648.0,162.0,batch9
122,1620.0,1680.0,60.0,batch1
112,1448.0,1682.0,234.0,batch7
113,1468.0,1705.0,237.0,batch8
119,1561.0,1714.0,153.0,batch14
17,1700.0,1742.0,42.0,interactive0
129,1726.0,1794.0,68.0,batch8
126,1682.0,1824.0,142.0,batch5
124,1655.0,1839.0,184.0,batch3
18,1800.0,1853.0,53.0,interactive0
132,1780.0,1860.0,80.0,batch11
127,1695.0,1865.0,170.0,batch6
130,1739.0,1873.0,134.0,batch9
120,1578.0,1877.0,299.0,batch15
133,1799.0,1885.0,86.0,batch12
121,1603.0,1886.0,283.0,batch0
123,1644.0,1928.0,284.0,batch2
137,1874.0,1935.0,61.0,batch0
118,1547.0,1941.0,394.0,batch13
19,1900.0,1941.0,41.0,interactive0
131,1759.0,1955.0,196.0,batch10
128,1708.0,1991.0,283.0,batch7
125,1664.0,2023.0,359.0,batch4
136,1856.0,2053.0,197.0,batch15
141,1937.0,2053.0,116.0,batch4
20,2000.0,2054.0,54.0,interactive0
146,2014.0,2056.0,42.0,batch9
147,2037.0,2075.0,38.0,batch10
139,1908.0,2085.0,177.0,batch2
149,2070.0,2102.0,32.0,batch12
135,1844.0,2115.0,271.0,batch14
145,2004.0,2131.0,127.0,batch8
21,2100.0,2140.0,40.0,interactive0
140,1921.0,2165.0,244.0,batch3
134,1821.0,2189.0,368.0,batch13
142,1957.0,2227.0,270.0,batch5
143,1971.0,2241.0,270.0,batch6
157,2198.0,2245.0,47.0,batch4
138,1896.0,2250.0,354.0,batch1
22,2200.0,2253.0,53.0,interactive0
151,2098.0,2260.0,162.0,batch14
144,1988.0,2275.0,287.0,batch7
154,2145.0,2291.0,146.0,batch1
153,2130.0,2298.0,168.0,batch0
156,2179.0,2309.0,130.0,batch3
155,2162.0,2338.0,176.0,batch2
162,2289.0,2339.0,50.0,batch9
23,2300.0,2340.0,40.0,interactive0
161,2270.0,2342.0,72.0,batch8
152,2112.0,2390.0,278.0,batch15
159,2233.0,2391.0,158.0,batch6
160,2250.0,2392.0,142.0,batch7
148,2055.0,2399.0,344.0,batch11
150,2080.0,2427.0,347.0,batch13
164,2335.0,2432.0,97.0,batch11
166,2367.0,2437.0,70.0,batch13
167,2383.0,2439.0,56.0,batch14
158,2216.0,2440.0,224.0,batch5
24,2400.0,2440.0,40.0,interactive0
165,2351.0,2451.0,100.0,batch12
163,2313.0,2454.0,141.0,batch10
168,2404.0,2460.0,56.0,batch15
169,2424.0,2473.0,49.0,batch0
