JobId, startTime, endTime, duration, queueName
0,0.0,27.0,27.0,interactive0
25,0.0,35.0,35.0,batch0
26,11.0,67.0,56.0,batch1
27,29.0,102.0,73.0,batch2
30,76.0,106.0,30.0,batch5
33,126.0,159.0,33.0,batch8
1,100.0,170.0,70.0,interactive0
28,49.0,175.0,126.0,batch3
29,66.0,203.0,137.0,batch4
31,92.0,233.0,141.0,batch6
35,164.0,252.0,88.0,batch10
34,150.0,256.0,106.0,batch9
2,200.0,280.0,80.0,interactive0
32,111.0,298.0,187.0,batch7
42,288.0,320.0,32.0,batch1
39,236.0,347.0,111.0,batch14
36,180.0,369.0,189.0,batch11
37,193.0,384.0,191.0,batch12
46,345.0,391.0,46.0,batch5
43,301.0,396.0,95.0,batch2
3,300.0,397.0,97.0,interactive0
44,316.0,407.0,91.0,batch3
45,335.0,407.0,72.0,batch4
47,361.0,413.0,52.0,batch6
38,218.0,421.0,203.0,batch13
40,255.0,451.0,196.0,batch15
41,274.0,466.0,192.0,batch0
49,389.0,472.0,83.0,batch8
4,400.0,479.0,79.0,interactive0
48,376.0,484.0,108.0,batch7
53,466.0,527.0,61.0,batch12
55,510.0,544.0,34.0,batch14
50,408.0,563.0,155.0,batch9
51,427.0,574.0,147.0,batch10
5,500.0,575.0,75.0,interactive0
52,456.0,599.0,143.0,batch11
58,573.0,602.0,29.0,batch1
57,548.0,607.0,59.0,batch0
54,490.0,648.0,158.0,batch13
6,600.0,669.0,69.0,interactive0
59,586.0,677.0,91.0,batch2
62,637.0,682.0,45.0,batch5
60,602.0,703.0,101.0,batch3
64,666.0,714.0,48.0,batch7
56,528.0,718.0,190.0,batch15
63,649.0,751.0,102.0,batch6
65,674.0,758.0,84.0,batch8
61,615.0,767.0,152.0,batch4
7,700.0,775.0,75.0,interactive0
66,692.0,864.0,172.0,batch9
74,818.0,887.0,69.0,batch1
72,784.0,894.0,110.0,batch15
8,800.0,920.0,120.0,interactive0
67,708.0,923.0,215.0,batch10
73,801.0,964.0,163.0,batch0
76,841.0,970.0,129.0,batch3
68,724.0,982.0,258.0,batch11
69,736.0,982.0,246.0,batch12
70,751.0,1016.0,265.0,batch13
85,984.0,1039.0,55.0,batch12
