JobId, startTime, endTime, duration, queueName
0,0.0,14.0,14.0,interactive0
25,0.0,42.0,42.0,batch0
26,11.0,66.0,55.0,batch1
27,29.0,110.0,81.0,batch2
30,76.0,119.0,43.0,batch5
1,100.0,123.0,23.0,interactive0
33,126.0,157.0,31.0,batch8
28,49.0,185.0,136.0,batch3
2,200.0,227.0,27.0,interactive0
29,66.0,235.0,169.0,batch4
34,150.0,254.0,104.0,batch9
31,92.0,268.0,176.0,batch6
35,164.0,272.0,108.0,batch10
3,300.0,327.0,27.0,interactive0
32,111.0,332.0,221.0,batch7
42,288.0,333.0,45.0,batch1
39,236.0,347.0,111.0,batch14
46,345.0,394.0,49.0,batch5
45,335.0,399.0,64.0,batch4
36,180.0,421.0,241.0,batch11
4,400.0,422.0,22.0,interactive0
43,301.0,423.0,122.0,batch2
44,316.0,428.0,112.0,batch3
37,193.0,432.0,239.0,batch12
47,361.0,433.0,72.0,batch6
38,218.0,452.0,234.0,batch13
40,255.0,477.0,222.0,batch15
41,274.0,487.0,213.0,batch0
48,376.0,506.0,130.0,batch7
49,389.0,517.0,128.0,batch8
5,500.0,519.0,19.0,interactive0
53,466.0,547.0,81.0,batch12
55,510.0,549.0,39.0,batch14
50,408.0,593.0,185.0,batch9
51,427.0,617.0,190.0,batch10
58,573.0,622.0,49.0,batch1
6,600.0,627.0,27.0,interactive0
57,548.0,637.0,89.0,batch0
52,456.0,647.0,191.0,batch11
62,637.0,684.0,47.0,batch5
54,490.0,692.0,202.0,batch13
59,586.0,703.0,117.0,batch2
7,700.0,727.0,27.0,interactive0
64,666.0,735.0,69.0,batch7
60,602.0,736.0,134.0,batch3
65,674.0,779.0,105.0,batch8
56,528.0,780.0,252.0,batch15
63,649.0,781.0,132.0,batch6
61,615.0,819.0,204.0,batch4
8,800.0,827.0,27.0,interactive0
74,818.0,887.0,69.0,batch1
9,900.0,927.0,27.0,interactive0
72,784.0,934.0,150.0,batch15
66,692.0,951.0,259.0,batch9
