JobId, startTime, endTime, duration, queueName
0,0.0,19.0,19.0,interactive0
1,100.0,125.0,25.0,interactive0
25,0.0,130.0,130.0,batch0
27,29.0,213.0,184.0,batch2
2,200.0,226.0,26.0,interactive0
28,49.0,298.0,249.0,batch3
3,300.0,327.0,27.0,interactive0
4,400.0,425.0,25.0,interactive0
31,92.0,446.0,354.0,batch6
33,126.0,446.0,320.0,batch0
32,111.0,478.0,367.0,batch7
29,66.0,517.0,451.0,batch4
5,500.0,527.0,27.0,interactive0
36,180.0,552.0,372.0,batch3
26,11.0,582.0,571.0,batch1
6,600.0,625.0,25.0,interactive0
30,76.0,629.0,553.0,batch5
40,255.0,636.0,381.0,batch7
7,700.0,733.0,33.0,interactive0
44,316.0,765.0,449.0,batch3
41,274.0,841.0,567.0,batch0
39,236.0,849.0,613.0,batch6
35,164.0,865.0,701.0,batch2
37,193.0,899.0,706.0,batch4
9,900.0,937.0,37.0,interactive0
38,218.0,945.0,727.0,batch5
10,1000.0,1032.0,32.0,interactive0
48,376.0,1042.0,666.0,batch7
34,150.0,1088.0,938.0,batch1
49,389.0,1130.0,741.0,batch0
11,1100.0,1132.0,32.0,interactive0
12,1200.0,1226.0,26.0,interactive0
52,456.0,1228.0,772.0,batch3
46,345.0,1239.0,894.0,batch5
43,301.0,1314.0,1013.0,batch2
13,1300.0,1328.0,28.0,interactive0
56,528.0,1334.0,806.0,batch7
45,335.0,1340.0,1005.0,batch4
14,1400.0,1431.0,31.0,interactive0
47,361.0,1437.0,1076.0,batch6
57,548.0,1451.0,903.0,batch0
42,288.0,1508.0,1220.0,batch1
15,1500.0,1531.0,31.0,interactive0
60,602.0,1541.0,939.0,batch3
50,408.0,1600.0,1192.0,batch1
51,427.0,1607.0,1180.0,batch2
16,1600.0,1629.0,29.0,interactive0
64,666.0,1672.0,1006.0,batch7
54,490.0,1675.0,1185.0,batch5
55,510.0,1743.0,1233.0,batch6
59,586.0,1754.0,1168.0,batch2
18,1800.0,1826.0,26.0,interactive0
68,724.0,1842.0,1118.0,batch3
53,466.0,1843.0,1377.0,batch4
19,1900.0,1930.0,30.0,interactive0
63,649.0,1936.0,1287.0,batch6
67,708.0,1961.0,1253.0,batch2
20,2000.0,2034.0,34.0,interactive0
65,674.0,2053.0,1379.0,batch0
76,841.0,2101.0,1260.0,batch3
21,2100.0,2129.0,29.0,interactive0
62,637.0,2159.0,1522.0,batch5
22,2200.0,2226.0,26.0,interactive0
72,784.0,2245.0,1461.0,batch7
73,801.0,2269.0,1468.0,batch0
70,751.0,2328.0,1577.0,batch5
23,2300.0,2330.0,30.0,interactive0
71,771.0,2348.0,1577.0,batch6
61,615.0,2349.0,1734.0,batch4
24,2400.0,2429.0,29.0,interactive0
75,827.0,2440.0,1613.0,batch2
58,573.0,2468.0,1895.0,batch1
83,947.0,2491.0,1544.0,batch2
66,692.0,2530.0,1838.0,batch1
81,914.0,2546.0,1632.0,batch0
80,899.0,2589.0,1690.0,batch7
79,887.0,2627.0,1740.0,batch6
78,874.0,2628.0,1754.0,batch5
92,1111.0,2628.0,1517.0,batch3
84,968.0,2635.0,1667.0,batch3
69,736.0,2642.0,1906.0,batch4
100,1255.0,2877.0,1622.0,batch3
86,998.0,2908.0,1910.0,batch5
74,818.0,2924.0,2106.0,batch1
89,1048.0,2956.0,1908.0,batch0
108,1387.0,2964.0,1577.0,batch3
87,1013.0,2966.0,1953.0,batch6
116,1514.0,3062.0,1548.0,batch3
91,1099.0,3108.0,2009.0,batch2
88,1038.0,3114.0,2076.0,batch7
96,1191.0,3145.0,1954.0,batch7
97,1207.0,3170.0,1963.0,batch0
77,856.0,3280.0,2424.0,batch4
95,1172.0,3318.0,2146.0,batch6
82,930.0,3326.0,2396.0,batch1
99,1237.0,3380.0,2143.0,batch2
124,1655.0,3381.0,1726.0,batch3
103,1303.0,3437.0,2134.0,batch6
94,1153.0,3439.0,2286.0,batch5
90,1080.0,3500.0,2420.0,batch1
105,1330.0,3560.0,2230.0,batch0
85,984.0,3564.0,2580.0,batch4
107,1369.0,3570.0,2201.0,batch2
113,1468.0,3725.0,2257.0,batch0
104,1314.0,3763.0,2449.0,batch7
111,1426.0,3819.0,2393.0,batch6
132,1780.0,3824.0,2044.0,batch3
140,1921.0,3829.0,1908.0,batch3
102,1290.0,3883.0,2593.0,batch5
112,1448.0,3950.0,2502.0,batch7
98,1223.0,3972.0,2749.0,batch1
120,1578.0,4013.0,2435.0,batch7
115,1501.0,4045.0,2544.0,batch2
119,1561.0,4060.0,2499.0,batch6
93,1131.0,4105.0,2974.0,batch4
106,1345.0,4137.0,2792.0,batch1
121,1603.0,4242.0,2639.0,batch0
127,1695.0,4323.0,2628.0,batch6
129,1726.0,4340.0,2614.0,batch0
101,1276.0,4374.0,3098.0,batch4
114,1486.0,4394.0,2908.0,batch1
137,1874.0,4399.0,2525.0,batch0
135,1844.0,4420.0,2576.0,batch6
148,2055.0,4424.0,2369.0,batch3
128,1708.0,4451.0,2743.0,batch7
123,1644.0,4530.0,2886.0,batch2
109,1402.0,4572.0,3170.0,batch4
156,2179.0,4603.0,2424.0,batch3
110,1413.0,4710.0,3297.0,batch5
136,1856.0,4840.0,2984.0,batch7
131,1759.0,4846.0,3087.0,batch2
143,1971.0,4866.0,2895.0,batch6
122,1620.0,4904.0,3284.0,batch1
139,1908.0,4936.0,3028.0,batch2
117,1531.0,4962.0,3431.0,batch4
164,2335.0,5043.0,2708.0,batch3
118,1547.0,5051.0,3504.0,batch5
126,1682.0,5112.0,3430.0,batch5
147,2037.0,5173.0,3136.0,batch2
144,1988.0,5209.0,3221.0,batch7
151,2098.0,5241.0,3143.0,batch6
145,2004.0,5273.0,3269.0,batch0
153,2130.0,5287.0,3157.0,batch0
125,1664.0,5319.0,3655.0,batch4
155,2162.0,5407.0,3245.0,batch2
130,1739.0,5427.0,3688.0,batch1
172,2478.0,5453.0,2975.0,batch3
152,2112.0,5526.0,3414.0,batch7
159,2233.0,5670.0,3437.0,batch6
134,1821.0,5687.0,3866.0,batch5
160,2250.0,5723.0,3473.0,batch7
161,2270.0,5730.0,3460.0,batch0
180,2603.0,5749.0,3146.0,batch3
133,1799.0,5795.0,3996.0,batch4
163,2313.0,5804.0,3491.0,batch2
138,1896.0,5824.0,3928.0,batch1
142,1957.0,5992.0,4035.0,batch5
168,2404.0,5993.0,3589.0,batch7
141,1937.0,6021.0,4084.0,batch4
169,2424.0,6067.0,3643.0,batch0
175,2521.0,6105.0,3584.0,batch6
167,2383.0,6130.0,3747.0,batch6
150,2080.0,6212.0,4132.0,batch5
149,2070.0,6259.0,4189.0,batch4
183,2656.0,6300.0,3644.0,batch6
171,2457.0,6301.0,3844.0,batch2
177,2559.0,6362.0,3803.0,batch0
179,2583.0,6376.0,3793.0,batch2
176,2537.0,6426.0,3889.0,batch7
146,2014.0,6514.0,4500.0,batch1
158,2216.0,6557.0,4341.0,batch5
174,2505.0,6557.0,4052.0,batch5
157,2198.0,6561.0,4363.0,batch4
154,2145.0,6567.0,4422.0,batch1
166,2367.0,6610.0,4243.0,batch5
162,2289.0,6666.0,4377.0,batch1
165,2351.0,6670.0,4319.0,batch4
170,2440.0,6762.0,4322.0,batch1
182,2636.0,6762.0,4126.0,batch5
181,2620.0,6785.0,4165.0,batch4
184,2673.0,6819.0,4146.0,batch7
173,2494.0,6951.0,4457.0,batch4
178,2569.0,7057.0,4488.0,batch1
