JobId, startTime, endTime, duration, queueName
0,0.0,19.0,19.0,interactive0
1,100.0,120.0,20.0,interactive0
25,0.0,133.0,133.0,batch0
27,29.0,219.0,190.0,batch2
2,200.0,221.0,21.0,interactive0
28,49.0,294.0,245.0,batch3
3,300.0,322.0,22.0,interactive0
4,400.0,420.0,20.0,interactive0
31,92.0,443.0,351.0,batch6
33,126.0,447.0,321.0,batch0
32,111.0,453.0,342.0,batch7
5,500.0,522.0,22.0,interactive0
29,66.0,523.0,457.0,batch4
36,180.0,569.0,389.0,batch3
26,11.0,583.0,572.0,batch1
6,600.0,626.0,26.0,interactive0
30,76.0,630.0,554.0,batch5
40,255.0,648.0,393.0,batch7
7,700.0,732.0,32.0,interactive0
44,316.0,805.0,489.0,batch3
41,274.0,842.0,568.0,batch0
39,236.0,852.0,616.0,batch6
37,193.0,871.0,678.0,batch4
35,164.0,874.0,710.0,batch2
9,900.0,931.0,31.0,interactive0
38,218.0,946.0,728.0,batch5
49,389.0,1026.0,637.0,batch0
10,1000.0,1028.0,28.0,interactive0
48,376.0,1042.0,666.0,batch7
34,150.0,1088.0,938.0,batch1
11,1100.0,1130.0,30.0,interactive0
12,1200.0,1222.0,22.0,interactive0
52,456.0,1229.0,773.0,batch3
46,345.0,1276.0,931.0,batch5
47,361.0,1301.0,940.0,batch6
43,301.0,1319.0,1018.0,batch2
13,1300.0,1322.0,22.0,interactive0
45,335.0,1328.0,993.0,batch4
56,528.0,1372.0,844.0,batch7
14,1400.0,1428.0,28.0,interactive0
57,548.0,1480.0,932.0,batch0
15,1500.0,1526.0,26.0,interactive0
42,288.0,1530.0,1242.0,batch1
60,602.0,1545.0,943.0,batch3
16,1600.0,1627.0,27.0,interactive0
64,666.0,1640.0,974.0,batch7
51,427.0,1645.0,1218.0,batch2
54,490.0,1675.0,1185.0,batch5
55,510.0,1741.0,1231.0,batch6
59,586.0,1787.0,1201.0,batch2
50,408.0,1803.0,1395.0,batch1
18,1800.0,1821.0,21.0,interactive0
53,466.0,1866.0,1400.0,batch4
68,724.0,1879.0,1155.0,batch3
19,1900.0,1927.0,27.0,interactive0
63,649.0,1947.0,1298.0,batch6
67,708.0,1986.0,1278.0,batch2
20,2000.0,2027.0,27.0,interactive0
65,674.0,2082.0,1408.0,batch0
76,841.0,2133.0,1292.0,batch3
21,2100.0,2137.0,37.0,interactive0
62,637.0,2193.0,1556.0,batch5
22,2200.0,2226.0,26.0,interactive0
72,784.0,2252.0,1468.0,batch7
73,801.0,2307.0,1506.0,batch0
71,771.0,2316.0,1545.0,batch6
70,751.0,2329.0,1578.0,batch5
23,2300.0,2330.0,30.0,interactive0
61,615.0,2346.0,1731.0,batch4
24,2400.0,2426.0,26.0,interactive0
58,573.0,2453.0,1880.0,batch1
75,827.0,2471.0,1644.0,batch2
66,692.0,2478.0,1786.0,batch1
83,947.0,2528.0,1581.0,batch2
81,914.0,2591.0,1677.0,batch0
92,1111.0,2601.0,1490.0,batch3
84,968.0,2604.0,1636.0,batch3
79,887.0,2614.0,1727.0,batch6
80,899.0,2623.0,1724.0,batch7
69,736.0,2635.0,1899.0,batch4
78,874.0,2690.0,1816.0,batch5
100,1255.0,2862.0,1607.0,batch3
74,818.0,2867.0,2049.0,batch1
86,998.0,2901.0,1903.0,batch5
108,1387.0,2946.0,1559.0,batch3
87,1013.0,2959.0,1946.0,batch6
89,1048.0,2994.0,1946.0,batch0
116,1514.0,3046.0,1532.0,batch3
88,1038.0,3117.0,2079.0,batch7
91,1099.0,3131.0,2032.0,batch2
96,1191.0,3140.0,1949.0,batch7
97,1207.0,3167.0,1960.0,batch0
77,856.0,3258.0,2402.0,batch4
95,1172.0,3296.0,2124.0,batch6
82,930.0,3302.0,2372.0,batch1
124,1655.0,3353.0,1698.0,batch3
99,1237.0,3401.0,2164.0,batch2
103,1303.0,3431.0,2128.0,batch6
94,1153.0,3450.0,2297.0,batch5
90,1080.0,3452.0,2372.0,batch1
85,984.0,3546.0,2562.0,batch4
105,1330.0,3565.0,2235.0,batch0
107,1369.0,3583.0,2214.0,batch2
113,1468.0,3730.0,2262.0,batch0
104,1314.0,3772.0,2458.0,batch7
132,1780.0,3806.0,2026.0,batch3
111,1426.0,3810.0,2384.0,batch6
140,1921.0,3810.0,1889.0,batch3
102,1290.0,3892.0,2602.0,batch5
98,1223.0,3943.0,2720.0,batch1
112,1448.0,3951.0,2503.0,batch7
120,1578.0,4041.0,2463.0,batch7
119,1561.0,4044.0,2483.0,batch6
93,1131.0,4086.0,2955.0,batch4
115,1501.0,4095.0,2594.0,batch2
106,1345.0,4120.0,2775.0,batch1
121,1603.0,4247.0,2644.0,batch0
127,1695.0,4303.0,2608.0,batch6
129,1726.0,4354.0,2628.0,batch0
101,1276.0,4357.0,3081.0,batch4
135,1844.0,4392.0,2548.0,batch6
114,1486.0,4400.0,2914.0,batch1
148,2055.0,4410.0,2355.0,batch3
137,1874.0,4419.0,2545.0,batch0
128,1708.0,4478.0,2770.0,batch7
123,1644.0,4542.0,2898.0,batch2
109,1402.0,4543.0,3141.0,batch4
156,2179.0,4618.0,2439.0,batch3
110,1413.0,4728.0,3315.0,batch5
131,1759.0,4836.0,3077.0,batch2
136,1856.0,4839.0,2983.0,batch7
122,1620.0,4877.0,3257.0,batch1
143,1971.0,4895.0,2924.0,batch6
117,1531.0,4946.0,3415.0,batch4
139,1908.0,4968.0,3060.0,batch2
164,2335.0,5027.0,2692.0,batch3
118,1547.0,5064.0,3517.0,batch5
126,1682.0,5138.0,3456.0,batch5
151,2098.0,5218.0,3120.0,batch6
147,2037.0,5224.0,3187.0,batch2
144,1988.0,5235.0,3247.0,batch7
145,2004.0,5297.0,3293.0,batch0
125,1664.0,5309.0,3645.0,batch4
153,2130.0,5371.0,3241.0,batch0
130,1739.0,5413.0,3674.0,batch1
172,2478.0,5429.0,2951.0,batch3
155,2162.0,5434.0,3272.0,batch2
152,2112.0,5550.0,3438.0,batch7
159,2233.0,5651.0,3418.0,batch6
134,1821.0,5705.0,3884.0,batch5
180,2603.0,5733.0,3130.0,batch3
160,2250.0,5734.0,3484.0,batch7
161,2270.0,5760.0,3490.0,batch0
133,1799.0,5782.0,3983.0,batch4
138,1896.0,5786.0,3890.0,batch1
163,2313.0,5835.0,3522.0,batch2
142,1957.0,6001.0,4044.0,batch5
168,2404.0,6007.0,3603.0,batch7
141,1937.0,6022.0,4085.0,batch4
169,2424.0,6081.0,3657.0,batch0
175,2521.0,6088.0,3567.0,batch6
167,2383.0,6103.0,3720.0,batch6
150,2080.0,6211.0,4131.0,batch5
149,2070.0,6248.0,4178.0,batch4
183,2656.0,6281.0,3625.0,batch6
171,2457.0,6327.0,3870.0,batch2
177,2559.0,6383.0,3824.0,batch0
176,2537.0,6426.0,3889.0,batch7
179,2583.0,6432.0,3849.0,batch2
146,2014.0,6471.0,4457.0,batch1
174,2505.0,6515.0,4010.0,batch5
154,2145.0,6555.0,4410.0,batch1
158,2216.0,6569.0,4353.0,batch5
157,2198.0,6581.0,4383.0,batch4
166,2367.0,6666.0,4299.0,batch5
162,2289.0,6672.0,4383.0,batch1
165,2351.0,6684.0,4333.0,batch4
182,2636.0,6780.0,4144.0,batch5
170,2440.0,6782.0,4342.0,batch1
181,2620.0,6800.0,4180.0,batch4
184,2673.0,6832.0,4159.0,batch7
173,2494.0,6963.0,4469.0,batch4
178,2569.0,7050.0,4481.0,batch1
