JobId, startTime, endTime, duration, queueName
0,0.0,70.0,70.0,interactive0
1,100.0,196.0,96.0,interactive0
2,200.0,330.0,130.0,interactive0
3,300.0,413.0,113.0,interactive0
4,400.0,493.0,93.0,interactive0
28,49.0,581.0,532.0,batch3
5,500.0,597.0,97.0,interactive0
25,0.0,644.0,644.0,batch0
29,66.0,661.0,595.0,batch4
6,600.0,697.0,97.0,interactive0
7,700.0,797.0,97.0,interactive0
8,800.0,884.0,84.0,interactive0
36,180.0,928.0,748.0,batch11
26,11.0,938.0,927.0,batch1
9,900.0,986.0,86.0,interactive0
40,255.0,1068.0,813.0,batch15
10,1000.0,1089.0,89.0,interactive0
11,1100.0,1185.0,85.0,interactive0
45,335.0,1278.0,943.0,batch4
12,1200.0,1286.0,86.0,interactive0
27,29.0,1338.0,1309.0,batch2
13,1300.0,1389.0,89.0,interactive0
30,76.0,1493.0,1417.0,batch5
14,1400.0,1498.0,98.0,interactive0
31,92.0,1589.0,1497.0,batch6
15,1500.0,1591.0,91.0,interactive0
33,126.0,1600.0,1474.0,batch8
16,1600.0,1694.0,94.0,interactive0
34,150.0,1745.0,1595.0,batch9
35,164.0,1760.0,1596.0,batch10
32,111.0,1777.0,1666.0,batch7
17,1700.0,1793.0,93.0,interactive0
37,193.0,1823.0,1630.0,batch12
56,528.0,1847.0,1319.0,batch15
39,236.0,1881.0,1645.0,batch14
18,1800.0,1882.0,82.0,interactive0
38,218.0,1893.0,1675.0,batch13
44,316.0,1963.0,1647.0,batch3
41,274.0,1971.0,1697.0,batch0
19,1900.0,1988.0,88.0,interactive0
48,376.0,2078.0,1702.0,batch7
42,288.0,2087.0,1799.0,batch1
20,2000.0,2090.0,90.0,interactive0
21,2100.0,2186.0,86.0,interactive0
22,2200.0,2287.0,87.0,interactive0
57,548.0,2338.0,1790.0,batch0
55,510.0,2346.0,1836.0,batch14
60,602.0,2387.0,1785.0,batch3
23,2300.0,2391.0,91.0,interactive0
43,301.0,2445.0,2144.0,batch2
24,2400.0,2488.0,88.0,interactive0
52,456.0,2499.0,2043.0,batch11
