JobId, startTime, endTime, duration, queueName
0,0.0,64.0,64.0,interactive0
1,100.0,180.0,80.0,interactive0
2,200.0,278.0,78.0,interactive0
28,49.0,368.0,319.0,batch1
3,300.0,372.0,72.0,interactive0
4,400.0,467.0,67.0,interactive0
25,0.0,468.0,468.0,batch0
29,66.0,489.0,423.0,batch0
26,11.0,547.0,536.0,batch1
5,500.0,578.0,78.0,interactive0
27,29.0,581.0,552.0,batch0
6,600.0,669.0,69.0,interactive0
30,76.0,732.0,656.0,batch1
31,92.0,751.0,659.0,batch0
7,700.0,777.0,77.0,interactive0
32,111.0,833.0,722.0,batch1
36,180.0,862.0,682.0,batch1
8,800.0,866.0,66.0,interactive0
34,150.0,968.0,818.0,batch1
9,900.0,969.0,69.0,interactive0
33,126.0,1023.0,897.0,batch0
10,1000.0,1070.0,70.0,interactive0
35,164.0,1072.0,908.0,batch0
40,255.0,1125.0,870.0,batch1
11,1100.0,1170.0,70.0,interactive0
37,193.0,1255.0,1062.0,batch0
38,218.0,1256.0,1038.0,batch1
12,1200.0,1272.0,72.0,interactive0
13,1300.0,1375.0,75.0,interactive0
39,236.0,1379.0,1143.0,batch0
14,1400.0,1465.0,65.0,interactive0
42,288.0,1478.0,1190.0,batch1
41,274.0,1537.0,1263.0,batch0
45,335.0,1542.0,1207.0,batch0
15,1500.0,1569.0,69.0,interactive0
48,376.0,1647.0,1271.0,batch1
44,316.0,1660.0,1344.0,batch1
16,1600.0,1675.0,75.0,interactive0
17,1700.0,1777.0,77.0,interactive0
43,301.0,1778.0,1477.0,batch0
46,345.0,1834.0,1489.0,batch1
47,361.0,1858.0,1497.0,batch0
18,1800.0,1876.0,76.0,interactive0
19,1900.0,1979.0,79.0,interactive0
50,408.0,1985.0,1577.0,batch1
49,389.0,2062.0,1673.0,batch0
20,2000.0,2084.0,84.0,interactive0
51,427.0,2161.0,1734.0,batch0
21,2100.0,2164.0,64.0,interactive0
52,456.0,2170.0,1714.0,batch1
56,528.0,2201.0,1673.0,batch1
55,510.0,2225.0,1715.0,batch0
22,2200.0,2264.0,64.0,interactive0
53,466.0,2267.0,1801.0,batch0
54,490.0,2269.0,1779.0,batch1
57,548.0,2291.0,1743.0,batch0
23,2300.0,2387.0,87.0,interactive0
60,602.0,2413.0,1811.0,batch1
24,2400.0,2467.0,67.0,interactive0
62,637.0,2496.0,1859.0,batch1
58,573.0,2562.0,1989.0,batch1
64,666.0,2588.0,1922.0,batch1
66,692.0,2685.0,1993.0,batch1
59,586.0,2695.0,2109.0,batch0
68,724.0,2751.0,2027.0,batch1
61,615.0,2775.0,2160.0,batch0
65,674.0,2786.0,2112.0,batch0
63,649.0,2924.0,2275.0,batch0
74,818.0,3051.0,2233.0,batch1
70,751.0,3075.0,2324.0,batch1
71,771.0,3080.0,2309.0,batch0
73,801.0,3136.0,2335.0,batch0
67,708.0,3139.0,2431.0,batch0
72,784.0,3221.0,2437.0,batch1
69,736.0,3241.0,2505.0,batch0
75,827.0,3257.0,2430.0,batch0
82,914.0,3385.0,2471.0,batch1
76,841.0,3387.0,2546.0,batch1
80,887.0,3532.0,2645.0,batch1
77,856.0,3602.0,2746.0,batch0
83,930.0,3682.0,2752.0,batch0
79,874.0,3760.0,2886.0,batch0
84,947.0,3764.0,2817.0,batch1
90,1048.0,3817.0,2769.0,batch1
81,899.0,3855.0,2956.0,batch0
86,984.0,3859.0,2875.0,batch1
88,1013.0,3984.0,2971.0,batch1
85,968.0,4016.0,3048.0,batch0
94,1131.0,4023.0,2892.0,batch1
87,998.0,4129.0,3131.0,batch0
92,1099.0,4171.0,3072.0,batch1
89,1038.0,4275.0,3237.0,batch0
96,1172.0,4394.0,3222.0,batch1
91,1080.0,4410.0,3330.0,batch0
102,1276.0,4441.0,3165.0,batch1
93,1111.0,4524.0,3413.0,batch0
98,1207.0,4525.0,3318.0,batch1
99,1223.0,4582.0,3359.0,batch0
95,1153.0,4653.0,3500.0,batch0
100,1237.0,4673.0,3436.0,batch1
97,1191.0,4740.0,3549.0,batch0
104,1303.0,4863.0,3560.0,batch1
110,1402.0,4933.0,3531.0,batch1
106,1330.0,4949.0,3619.0,batch1
101,1255.0,4950.0,3695.0,batch0
103,1290.0,5088.0,3798.0,batch0
108,1369.0,5099.0,3730.0,batch1
114,1468.0,5114.0,3646.0,batch1
109,1387.0,5157.0,3770.0,batch0
105,1314.0,5215.0,3901.0,batch0
111,1413.0,5253.0,3840.0,batch0
116,1501.0,5259.0,3758.0,batch1
118,1531.0,5310.0,3779.0,batch1
112,1426.0,5311.0,3885.0,batch1
107,1345.0,5364.0,4019.0,batch0
120,1561.0,5433.0,3872.0,batch1
122,1603.0,5485.0,3882.0,batch1
113,1448.0,5610.0,4162.0,batch0
119,1547.0,5649.0,4102.0,batch0
115,1486.0,5724.0,4238.0,batch0
128,1695.0,5748.0,4053.0,batch1
124,1644.0,5855.0,4211.0,batch1
117,1514.0,5916.0,4402.0,batch0
126,1664.0,5948.0,4284.0,batch1
125,1655.0,6070.0,4415.0,batch0
127,1682.0,6076.0,4394.0,batch0
121,1578.0,6087.0,4509.0,batch0
136,1821.0,6120.0,4299.0,batch1
130,1726.0,6136.0,4410.0,batch1
123,1620.0,6183.0,4563.0,batch0
129,1708.0,6242.0,4534.0,batch0
134,1780.0,6282.0,4502.0,batch1
138,1856.0,6472.0,4616.0,batch1
131,1739.0,6558.0,4819.0,batch0
144,1957.0,6586.0,4629.0,batch1
137,1844.0,6605.0,4761.0,batch0
140,1896.0,6616.0,4720.0,batch1
142,1921.0,6681.0,4760.0,batch1
133,1759.0,6686.0,4927.0,batch0
135,1799.0,6763.0,4964.0,batch0
148,2014.0,6783.0,4769.0,batch1
146,1988.0,6946.0,4958.0,batch1
139,1874.0,6977.0,5103.0,batch0
141,1908.0,7112.0,5204.0,batch0
150,2055.0,7141.0,5086.0,batch1
156,2145.0,7246.0,5101.0,batch1
152,2080.0,7267.0,5187.0,batch1
143,1937.0,7270.0,5333.0,batch0
145,1971.0,7369.0,5398.0,batch0
154,2112.0,7391.0,5279.0,batch1
147,2004.0,7437.0,5433.0,batch0
153,2098.0,7574.0,5476.0,batch0
158,2179.0,7587.0,5408.0,batch1
149,2037.0,7609.0,5572.0,batch0
164,2289.0,7612.0,5323.0,batch1
151,2070.0,7665.0,5595.0,batch0
160,2216.0,7681.0,5465.0,batch1
162,2250.0,7837.0,5587.0,batch1
168,2367.0,7850.0,5483.0,batch1
155,2130.0,7922.0,5792.0,batch0
170,2404.0,7970.0,5566.0,batch1
166,2335.0,8033.0,5698.0,batch1
172,2440.0,8041.0,5601.0,batch1
157,2162.0,8063.0,5901.0,batch0
174,2478.0,8085.0,5607.0,batch1
163,2270.0,8101.0,5831.0,batch0
159,2198.0,8174.0,5976.0,batch0
176,2505.0,8213.0,5708.0,batch1
165,2313.0,8225.0,5912.0,batch0
161,2233.0,8267.0,6034.0,batch0
182,2603.0,8476.0,5873.0,batch1
167,2351.0,8548.0,6197.0,batch0
178,2537.0,8568.0,6031.0,batch1
173,2457.0,8628.0,6171.0,batch0
180,2569.0,8687.0,6118.0,batch1
169,2383.0,8703.0,6320.0,batch0
171,2424.0,8757.0,6333.0,batch0
179,2559.0,8766.0,6207.0,batch0
181,2583.0,8789.0,6206.0,batch0
