JobId, startTime, endTime, duration, queueName
0,0.0,22.0,22.0,interactive0
1,100.0,171.0,71.0,interactive0
2,200.0,272.0,72.0,interactive0
28,49.0,292.0,243.0,batch1
3,300.0,353.0,53.0,interactive0
29,66.0,447.0,381.0,batch0
4,400.0,462.0,62.0,interactive0
25,0.0,473.0,473.0,batch0
26,11.0,476.0,465.0,batch1
5,500.0,563.0,63.0,interactive0
27,29.0,579.0,550.0,batch0
6,600.0,661.0,61.0,interactive0
30,76.0,742.0,666.0,batch1
7,700.0,762.0,62.0,interactive0
31,92.0,768.0,676.0,batch0
8,800.0,854.0,54.0,interactive0
32,111.0,872.0,761.0,batch1
36,180.0,878.0,698.0,batch1
9,900.0,962.0,62.0,interactive0
34,150.0,1033.0,883.0,batch1
33,126.0,1041.0,915.0,batch0
10,1000.0,1047.0,47.0,interactive0
35,164.0,1062.0,898.0,batch0
40,255.0,1143.0,888.0,batch1
11,1100.0,1148.0,48.0,interactive0
37,193.0,1158.0,965.0,batch0
12,1200.0,1268.0,68.0,interactive0
38,218.0,1356.0,1138.0,batch1
13,1300.0,1362.0,62.0,interactive0
39,236.0,1401.0,1165.0,batch0
14,1400.0,1473.0,73.0,interactive0
41,274.0,1493.0,1219.0,batch0
42,288.0,1500.0,1212.0,batch1
45,335.0,1551.0,1216.0,batch0
15,1500.0,1555.0,55.0,interactive0
16,1600.0,1668.0,68.0,interactive0
48,376.0,1680.0,1304.0,batch1
44,316.0,1696.0,1380.0,batch1
43,301.0,1757.0,1456.0,batch0
17,1700.0,1781.0,81.0,interactive0
46,345.0,1791.0,1446.0,batch1
18,1800.0,1866.0,66.0,interactive0
47,361.0,1867.0,1506.0,batch0
19,1900.0,1993.0,93.0,interactive0
49,389.0,2000.0,1611.0,batch0
20,2000.0,2078.0,78.0,interactive0
50,408.0,2132.0,1724.0,batch1
55,510.0,2138.0,1628.0,batch0
21,2100.0,2141.0,41.0,interactive0
56,528.0,2143.0,1615.0,batch1
51,427.0,2156.0,1729.0,batch0
52,456.0,2163.0,1707.0,batch1
22,2200.0,2259.0,59.0,interactive0
57,548.0,2282.0,1734.0,batch0
53,466.0,2299.0,1833.0,batch0
23,2300.0,2386.0,86.0,interactive0
54,490.0,2387.0,1897.0,batch1
24,2400.0,2463.0,63.0,interactive0
60,602.0,2464.0,1862.0,batch1
58,573.0,2563.0,1990.0,batch1
62,637.0,2572.0,1935.0,batch1
64,666.0,2613.0,1947.0,batch1
65,674.0,2685.0,2011.0,batch0
59,586.0,2687.0,2101.0,batch0
66,692.0,2722.0,2030.0,batch1
61,615.0,2788.0,2173.0,batch0
68,724.0,2797.0,2073.0,batch1
63,649.0,2892.0,2243.0,batch0
71,771.0,3049.0,2278.0,batch0
67,708.0,3084.0,2376.0,batch0
74,818.0,3085.0,2267.0,batch1
73,801.0,3106.0,2305.0,batch0
70,751.0,3148.0,2397.0,batch1
69,736.0,3197.0,2461.0,batch0
75,827.0,3205.0,2378.0,batch0
72,784.0,3286.0,2502.0,batch1
82,914.0,3428.0,2514.0,batch1
76,841.0,3442.0,2601.0,batch1
80,887.0,3573.0,2686.0,batch1
77,856.0,3580.0,2724.0,batch0
83,930.0,3634.0,2704.0,batch0
79,874.0,3710.0,2836.0,batch0
81,899.0,3785.0,2886.0,batch0
90,1048.0,3814.0,2766.0,batch1
84,947.0,3833.0,2886.0,batch1
86,984.0,3898.0,2914.0,batch1
85,968.0,4025.0,3057.0,batch0
88,1013.0,4044.0,3031.0,batch1
94,1131.0,4081.0,2950.0,batch1
87,998.0,4117.0,3119.0,batch0
92,1099.0,4202.0,3103.0,batch1
89,1038.0,4211.0,3173.0,batch0
91,1080.0,4405.0,3325.0,batch0
96,1172.0,4478.0,3306.0,batch1
93,1111.0,4482.0,3371.0,batch0
102,1276.0,4513.0,3237.0,batch1
98,1207.0,4537.0,3330.0,batch1
99,1223.0,4559.0,3336.0,batch0
95,1153.0,4575.0,3422.0,batch0
100,1237.0,4700.0,3463.0,batch1
97,1191.0,4708.0,3517.0,batch0
104,1303.0,4880.0,3577.0,batch1
110,1402.0,4947.0,3545.0,batch1
101,1255.0,4963.0,3708.0,batch0
106,1330.0,5011.0,3681.0,batch1
103,1290.0,5057.0,3767.0,batch0
108,1369.0,5111.0,3742.0,batch1
109,1387.0,5130.0,3743.0,batch0
114,1468.0,5193.0,3725.0,batch1
105,1314.0,5196.0,3882.0,batch0
111,1413.0,5225.0,3812.0,batch0
116,1501.0,5283.0,3782.0,batch1
112,1426.0,5289.0,3863.0,batch1
107,1345.0,5300.0,3955.0,batch0
118,1531.0,5386.0,3855.0,batch1
120,1561.0,5429.0,3868.0,batch1
122,1603.0,5459.0,3856.0,batch1
113,1448.0,5606.0,4158.0,batch0
119,1547.0,5638.0,4091.0,batch0
115,1486.0,5708.0,4222.0,batch0
128,1695.0,5781.0,4086.0,batch1
117,1514.0,5833.0,4319.0,batch0
124,1644.0,5910.0,4266.0,batch1
125,1655.0,5994.0,4339.0,batch0
126,1664.0,5999.0,4335.0,batch1
121,1578.0,6003.0,4425.0,batch0
127,1682.0,6039.0,4357.0,batch0
