JobId, startTime, endTime, duration, queueName
0,10.0,14.0,4.0,interactive
1,20.0,24.0,4.0,interactive
2,30.0,34.0,4.0,interactive
3,40.0,44.0,4.0,interactive
4,50.0,54.0,4.0,interactive
5,60.0,64.0,4.0,interactive
6,70.0,74.0,4.0,interactive
7,80.0,84.0,4.0,interactive
8,90.0,94.0,4.0,interactive
9,100.0,104.0,4.0,interactive
36,5.0,147.0,142.0,batch03
36,15.0,183.0,168.0,batch03
30,0.0,219.0,219.0,batch03
10,0.0,237.0,237.0,batch01
20,0.0,237.0,237.0,batch02
31,10.0,274.0,264.0,batch03
15,5.0,284.0,279.0,batch01
25,5.0,284.0,279.0,batch02
32,20.0,289.0,269.0,batch03
37,25.0,294.0,269.0,batch03
33,30.0,297.0,267.0,batch03
38,35.0,299.0,264.0,batch03
34,40.0,300.0,260.0,batch03
39,45.0,301.0,256.0,batch03
21,10.0,304.0,294.0,batch02
11,10.0,304.0,294.0,batch01
26,15.0,310.0,295.0,batch02
16,15.0,310.0,295.0,batch01
22,20.0,315.0,295.0,batch02
12,20.0,315.0,295.0,batch01
17,25.0,318.0,293.0,batch01
27,25.0,318.0,293.0,batch02
23,30.0,320.0,290.0,batch02
13,30.0,320.0,290.0,batch01
18,35.0,321.0,286.0,batch01
28,35.0,321.0,286.0,batch02
24,40.0,322.0,282.0,batch02
14,40.0,322.0,282.0,batch01
29,45.0,323.0,278.0,batch02
19,45.0,323.0,278.0,batch01
