JobId, startTime, endTime, duration, queueName
0,10.0,12.0,2.0,interactive
1,20.0,22.0,2.0,interactive
2,30.0,32.0,2.0,interactive
3,40.0,42.0,2.0,interactive
4,50.0,52.0,2.0,interactive
5,60.0,62.0,2.0,interactive
6,70.0,72.0,2.0,interactive
7,80.0,82.0,2.0,interactive
8,90.0,92.0,2.0,interactive
9,100.0,102.0,2.0,interactive
20,0.0,124.0,124.0,batch02
10,0.0,124.0,124.0,batch01
15,5.0,170.0,165.0,batch01
25,5.0,170.0,165.0,batch02
21,10.0,191.0,181.0,batch02
11,10.0,191.0,181.0,batch01
16,15.0,199.0,184.0,batch01
26,15.0,199.0,184.0,batch02
12,20.0,207.0,187.0,batch01
22,20.0,207.0,187.0,batch02
27,25.0,211.0,186.0,batch02
17,25.0,211.0,186.0,batch01
13,30.0,214.0,184.0,batch01
23,30.0,214.0,184.0,batch02
18,35.0,216.0,181.0,batch01
28,35.0,216.0,181.0,batch02
14,40.0,217.0,177.0,batch01
24,40.0,217.0,177.0,batch02
19,45.0,218.0,173.0,batch01
29,45.0,218.0,173.0,batch02
