JobId, startTime, endTime, duration, queueName
32,2.0,249.0,247.0,batch03
32,2.0,249.0,247.0,batch04
36,5.0,258.0,253.0,batch03
37,7.0,259.0,252.0,batch03
37,7.0,259.0,252.0,batch04
36,6.0,260.0,254.0,batch03
30,0.0,409.0,409.0,batch03
31,1.0,414.0,413.0,batch03
33,3.0,418.0,415.0,batch03
34,4.0,419.0,415.0,batch03
38,8.0,420.0,412.0,batch03
39,9.0,420.0,411.0,batch03
40,0.0,434.0,434.0,batch04
41,1.0,440.0,439.0,batch04
43,3.0,444.0,441.0,batch04
44,4.0,445.0,441.0,batch04
45,5.0,446.0,441.0,batch04
46,6.0,447.0,441.0,batch04
48,8.0,447.0,439.0,batch04
49,9.0,447.0,438.0,batch04
10,0.0,466.0,466.0,batch01
20,0.0,466.0,466.0,batch02
21,1.0,472.0,471.0,batch02
11,1.0,472.0,471.0,batch01
12,2.0,474.0,472.0,batch01
22,2.0,474.0,472.0,batch02
13,3.0,476.0,473.0,batch01
23,3.0,476.0,473.0,batch02
24,4.0,477.0,473.0,batch02
14,4.0,477.0,473.0,batch01
25,5.0,477.0,472.0,batch02
15,5.0,477.0,472.0,batch01
26,6.0,478.0,472.0,batch02
16,6.0,478.0,472.0,batch01
17,7.0,478.0,471.0,batch01
27,7.0,478.0,471.0,batch02
28,8.0,478.0,470.0,batch02
18,8.0,478.0,470.0,batch01
19,9.0,479.0,470.0,batch01
29,9.0,479.0,470.0,batch02
0,0.0,488.0,488.0,interactive
1,10.0,506.0,496.0,interactive
2,20.0,514.0,494.0,interactive
3,30.0,519.0,489.0,interactive
4,40.0,522.0,482.0,interactive
5,50.0,524.0,474.0,interactive
6,60.0,525.0,465.0,interactive
7,70.0,526.0,456.0,interactive
8,80.0,527.0,447.0,interactive
9,90.0,527.0,437.0,interactive
