JobId, startTime, endTime, duration, queueName
32,2.0,254.0,252.0,batch03
32,2.0,254.0,252.0,batch04
36,5.0,262.0,257.0,batch03
36,6.0,264.0,258.0,batch03
37,7.0,264.0,257.0,batch03
37,7.0,264.0,257.0,batch04
30,0.0,397.0,397.0,batch03
31,1.0,399.0,398.0,batch03
33,3.0,401.0,398.0,batch03
34,4.0,402.0,398.0,batch03
38,8.0,405.0,397.0,batch03
39,9.0,406.0,397.0,batch03
40,0.0,438.0,438.0,batch04
41,1.0,439.0,438.0,batch04
43,3.0,442.0,439.0,batch04
44,4.0,443.0,439.0,batch04
45,5.0,445.0,440.0,batch04
46,6.0,446.0,440.0,batch04
48,8.0,448.0,440.0,batch04
49,9.0,449.0,440.0,batch04
10,0.0,462.0,462.0,batch01
20,0.0,462.0,462.0,batch02
21,1.0,464.0,463.0,batch02
11,1.0,464.0,463.0,batch01
12,2.0,465.0,463.0,batch01
22,2.0,465.0,463.0,batch02
13,3.0,467.0,464.0,batch01
23,3.0,467.0,464.0,batch02
24,4.0,469.0,465.0,batch02
14,4.0,469.0,465.0,batch01
25,5.0,470.0,465.0,batch02
15,5.0,470.0,465.0,batch01
26,6.0,472.0,466.0,batch02
16,6.0,472.0,466.0,batch01
17,7.0,473.0,466.0,batch01
27,7.0,473.0,466.0,batch02
28,8.0,474.0,466.0,batch02
18,8.0,474.0,466.0,batch01
19,9.0,475.0,466.0,batch01
29,9.0,475.0,466.0,batch02
0,0.0,567.0,567.0,interactive
1,10.0,584.0,574.0,interactive
2,20.0,589.0,569.0,interactive
3,30.0,593.0,563.0,interactive
4,40.0,595.0,555.0,interactive
5,50.0,596.0,546.0,interactive
6,60.0,598.0,538.0,interactive
7,70.0,599.0,529.0,interactive
8,80.0,600.0,520.0,interactive
9,90.0,601.0,511.0,interactive
