JobId, startTime, endTime, duration, queueName
0,0.0,2.0,2.0,interactive
1,10.0,12.0,2.0,interactive
2,20.0,22.0,2.0,interactive
3,30.0,32.0,2.0,interactive
4,40.0,42.0,2.0,interactive
5,50.0,52.0,2.0,interactive
6,60.0,62.0,2.0,interactive
7,70.0,72.0,2.0,interactive
8,80.0,82.0,2.0,interactive
9,90.0,92.0,2.0,interactive
36,5.0,189.0,184.0,batch03
32,20.0,220.0,200.0,batch03
32,20.0,220.0,200.0,batch04
36,15.0,226.0,211.0,batch03
37,25.0,227.0,202.0,batch03
37,25.0,227.0,202.0,batch04
30,0.0,291.0,291.0,batch03
40,0.0,313.0,313.0,batch04
31,10.0,323.0,313.0,batch03
10,0.0,330.0,330.0,batch01
20,0.0,330.0,330.0,batch02
33,30.0,340.0,310.0,batch03
45,5.0,342.0,337.0,batch04
38,35.0,342.0,307.0,batch03
34,40.0,343.0,303.0,batch03
39,45.0,344.0,299.0,batch03
41,10.0,354.0,344.0,batch04
46,15.0,359.0,344.0,batch04
25,5.0,363.0,358.0,batch02
15,5.0,363.0,358.0,batch01
43,30.0,368.0,338.0,batch04
48,35.0,369.0,334.0,batch04
44,40.0,370.0,330.0,batch04
49,45.0,371.0,326.0,batch04
21,10.0,376.0,366.0,batch02
11,10.0,376.0,366.0,batch01
26,15.0,381.0,366.0,batch02
16,15.0,381.0,366.0,batch01
12,20.0,385.0,365.0,batch01
22,20.0,385.0,365.0,batch02
17,25.0,387.0,362.0,batch01
27,25.0,387.0,362.0,batch02
13,30.0,389.0,359.0,batch01
23,30.0,389.0,359.0,batch02
28,35.0,390.0,355.0,batch02
18,35.0,390.0,355.0,batch01
24,40.0,391.0,351.0,batch02
14,40.0,391.0,351.0,batch01
19,45.0,391.0,346.0,batch01
29,45.0,391.0,346.0,batch02
