JobId, startTime, endTime, duration, queueName
0,0.0,32.0,32.0,interactive0
1,10.0,86.0,76.0,interactive0
2,20.0,130.0,110.0,interactive0
3,30.0,171.0,141.0,interactive0
4,40.0,217.0,177.0,interactive0
5,50.0,257.0,207.0,interactive0
6,60.0,284.0,224.0,interactive0
7,70.0,305.0,235.0,interactive0
8,80.0,327.0,247.0,interactive0
9,90.0,340.0,250.0,interactive0
10,100.0,353.0,253.0,interactive0
11,110.0,362.0,252.0,interactive0
12,120.0,373.0,253.0,interactive0
13,130.0,379.0,249.0,interactive0
14,140.0,385.0,245.0,interactive0
15,150.0,391.0,241.0,interactive0
16,160.0,396.0,236.0,interactive0
17,170.0,398.0,228.0,interactive0
18,180.0,400.0,220.0,interactive0
19,190.0,401.0,211.0,interactive0
20,0.0,547.0,547.0,batch0
30,1.0,550.0,549.0,batch1
40,2.0,552.0,550.0,batch2
50,3.0,553.0,550.0,batch3
21,1.0,555.0,554.0,batch0
31,2.0,556.0,554.0,batch1
22,2.0,557.0,555.0,batch0
41,3.0,557.0,554.0,batch2
23,3.0,558.0,555.0,batch0
32,3.0,558.0,555.0,batch1
51,4.0,558.0,554.0,batch3
24,4.0,559.0,555.0,batch0
33,4.0,559.0,555.0,batch1
42,4.0,559.0,555.0,batch2
34,5.0,560.0,555.0,batch1
43,5.0,560.0,555.0,batch2
52,5.0,560.0,555.0,batch3
44,6.0,561.0,555.0,batch2
53,6.0,561.0,555.0,batch3
54,7.0,562.0,555.0,batch3
25,5.0,600.0,595.0,batch0
35,6.0,601.0,595.0,batch1
26,6.0,602.0,596.0,batch0
45,7.0,602.0,595.0,batch2
55,8.0,602.0,594.0,batch3
36,7.0,603.0,596.0,batch1
27,7.0,604.0,597.0,batch0
46,8.0,604.0,596.0,batch2
56,9.0,604.0,595.0,batch3
28,8.0,605.0,597.0,batch0
37,8.0,605.0,597.0,batch1
47,9.0,605.0,596.0,batch2
38,9.0,606.0,597.0,batch1
29,9.0,606.0,597.0,batch0
48,10.0,606.0,596.0,batch2
57,10.0,606.0,596.0,batch3
39,10.0,607.0,597.0,batch1
49,11.0,607.0,596.0,batch2
58,11.0,607.0,596.0,batch3
59,12.0,608.0,596.0,batch3
