JobId, startTime, endTime, duration, queueName
0,0.0,94.0,94.0,interactive0
1,10.0,239.0,229.0,interactive0
20,0.0,263.0,263.0,batch0
30,1.0,269.0,268.0,batch1
21,1.0,276.0,275.0,batch0
31,2.0,277.0,275.0,batch1
22,2.0,280.0,278.0,batch0
32,3.0,281.0,278.0,batch1
23,3.0,282.0,279.0,batch0
24,4.0,284.0,280.0,batch0
33,4.0,284.0,280.0,batch1
34,5.0,286.0,281.0,batch1
25,5.0,286.0,281.0,batch0
35,6.0,287.0,281.0,batch1
26,6.0,287.0,281.0,batch0
27,7.0,299.0,292.0,batch0
28,8.0,301.0,293.0,batch0
29,9.0,302.0,293.0,batch0
36,7.0,303.0,296.0,batch1
37,8.0,304.0,296.0,batch1
38,9.0,306.0,297.0,batch1
39,10.0,307.0,297.0,batch1
2,20.0,310.0,290.0,interactive0
3,30.0,331.0,301.0,interactive0
4,40.0,346.0,306.0,interactive0
5,50.0,356.0,306.0,interactive0
6,60.0,363.0,303.0,interactive0
7,70.0,369.0,299.0,interactive0
8,80.0,376.0,296.0,interactive0
9,90.0,379.0,289.0,interactive0
10,100.0,384.0,284.0,interactive0
11,110.0,389.0,279.0,interactive0
12,120.0,392.0,272.0,interactive0
13,130.0,394.0,264.0,interactive0
14,140.0,396.0,256.0,interactive0
15,150.0,399.0,249.0,interactive0
16,160.0,400.0,240.0,interactive0
17,170.0,402.0,232.0,interactive0
18,180.0,403.0,223.0,interactive0
19,190.0,404.0,214.0,interactive0
