JobId, startTime, endTime, duration, queueName
0,0.0,5.6,5.6,interactive0
1,10.0,17.2,7.199999999999999,interactive0
2,20.0,27.2,7.199999999999999,interactive0
3,30.0,37.2,7.200000000000003,interactive0
4,40.0,47.2,7.200000000000003,interactive0
10,0.0,50.2,50.2,batch0
20,1.0,50.8,49.8,batch1
30,2.0,52.2,50.2,batch2
5,50.0,57.2,7.200000000000003,interactive0
6,60.0,67.2,7.200000000000003,interactive0
7,70.0,77.2,7.200000000000003,interactive0
8,80.0,87.2,7.200000000000003,interactive0
9,90.0,97.2,7.200000000000003,interactive0
21,2.0,101.2,99.2,batch1
31,3.0,102.4,99.4,batch2
12,2.0,145.8,143.8,batch0
22,3.0,146.6,143.6,batch1
32,4.0,147.8,143.8,batch2
23,4.0,192.0,188.0,batch1
13,3.0,192.4,189.4,batch0
33,5.0,193.2,188.2,batch2
24,5.0,237.4,232.4,batch1
11,1.0,238.6,237.6,batch0
34,6.0,238.6,232.6,batch2
14,4.0,238.8,234.8,batch0
35,7.0,284.2,277.2,batch2
15,5.0,284.4,279.4,batch0
26,7.0,329.4,322.4,batch1
36,8.0,329.6,321.6,batch2
16,6.0,329.8,323.8,batch0
37,9.0,375.0,366.0,batch2
17,7.0,375.2,368.2,batch0
27,8.0,376.0,368.0,batch1
38,10.0,420.6,410.6,batch2
18,8.0,420.8,412.8,batch0
28,9.0,422.4,413.4,batch1
25,6.0,466.0,460.0,batch1
39,11.0,466.0,455.0,batch2
19,9.0,466.2,457.2,batch0
29,10.0,467.2,457.2,batch1
