JobId, startTime, endTime, duration, queueName
0,0.0,2.0,2.0,interactive0
1,10.0,12.0,2.0,interactive0
2,20.0,22.0,2.0,interactive0
3,30.0,32.0,2.0,interactive0
4,40.0,42.0,2.0,interactive0
5,50.0,52.0,2.0,interactive0
6,60.0,62.0,2.0,interactive0
7,70.0,72.0,2.0,interactive0
8,80.0,82.0,2.0,interactive0
9,90.0,92.0,2.0,interactive0
30,2.0,332.0,330.0,batch2
20,1.0,342.0,341.0,batch1
21,2.0,342.0,340.0,batch1
31,3.0,342.0,339.0,batch2
10,0.0,346.0,346.0,batch0
11,1.0,346.0,345.0,batch0
12,2.0,346.0,344.0,batch0
22,3.0,346.0,343.0,batch1
32,4.0,346.0,342.0,batch2
33,5.0,348.0,343.0,batch2
13,3.0,349.0,346.0,batch0
23,4.0,349.0,345.0,batch1
14,4.0,350.0,346.0,batch0
24,5.0,350.0,345.0,batch1
34,6.0,350.0,344.0,batch2
15,5.0,351.0,346.0,batch0
25,6.0,351.0,345.0,batch1
35,7.0,351.0,344.0,batch2
16,6.0,352.0,346.0,batch0
26,7.0,352.0,345.0,batch1
36,8.0,352.0,344.0,batch2
37,9.0,352.0,343.0,batch2
17,7.0,353.0,346.0,batch0
18,8.0,353.0,345.0,batch0
27,8.0,353.0,345.0,batch1
19,9.0,353.0,344.0,batch0
28,9.0,353.0,344.0,batch1
29,10.0,353.0,343.0,batch1
38,10.0,353.0,343.0,batch2
39,11.0,353.0,342.0,batch2
