JobId, startTime, endTime, duration, queueName
0,0.0,49.0,49.0,interactive0
1,10.0,127.0,117.0,interactive0
2,20.0,198.0,178.0,interactive0
3,30.0,253.0,223.0,interactive0
4,40.0,290.0,250.0,interactive0
5,50.0,322.0,272.0,interactive0
6,60.0,350.0,290.0,interactive0
7,70.0,373.0,303.0,interactive0
8,80.0,393.0,313.0,interactive0
9,90.0,407.0,317.0,interactive0
10,100.0,421.0,321.0,interactive0
11,110.0,430.0,320.0,interactive0
12,120.0,436.0,316.0,interactive0
13,130.0,442.0,312.0,interactive0
14,140.0,447.0,307.0,interactive0
15,150.0,451.0,301.0,interactive0
16,160.0,457.0,297.0,interactive0
17,170.0,461.0,291.0,interactive0
18,180.0,462.0,282.0,interactive0
19,190.0,463.0,273.0,interactive0
20,0.0,711.0,711.0,batch0
40,1.0,714.0,713.0,batch1
60,2.0,716.0,714.0,batch2
21,1.0,722.0,721.0,batch0
41,2.0,723.0,721.0,batch1
61,3.0,723.0,720.0,batch2
22,2.0,726.0,724.0,batch0
42,3.0,727.0,724.0,batch1
62,4.0,727.0,723.0,batch2
23,3.0,729.0,726.0,batch0
43,4.0,729.0,725.0,batch1
63,5.0,730.0,725.0,batch2
24,4.0,731.0,727.0,batch0
44,5.0,731.0,726.0,batch1
25,5.0,732.0,727.0,batch0
64,6.0,732.0,726.0,batch2
45,6.0,732.0,726.0,batch1
26,6.0,733.0,727.0,batch0
46,7.0,733.0,726.0,batch1
65,7.0,733.0,726.0,batch2
27,7.0,775.0,768.0,batch0
47,8.0,776.0,768.0,batch1
66,8.0,784.0,776.0,batch2
67,9.0,785.0,776.0,batch2
28,8.0,850.0,842.0,batch0
48,9.0,851.0,842.0,batch1
29,9.0,856.0,847.0,batch0
49,10.0,857.0,847.0,batch1
30,10.0,858.0,848.0,batch0
50,11.0,859.0,848.0,batch1
68,10.0,860.0,850.0,batch2
31,11.0,860.0,849.0,batch0
32,12.0,860.0,848.0,batch0
51,12.0,860.0,848.0,batch1
69,11.0,861.0,850.0,batch2
52,13.0,861.0,848.0,batch1
33,13.0,861.0,848.0,batch0
34,14.0,861.0,847.0,batch0
53,14.0,861.0,847.0,batch1
54,15.0,861.0,846.0,batch1
70,12.0,862.0,850.0,batch2
71,13.0,863.0,850.0,batch2
72,14.0,863.0,849.0,batch2
73,15.0,863.0,848.0,batch2
35,15.0,869.0,854.0,batch0
55,16.0,869.0,853.0,batch1
36,16.0,869.0,853.0,batch0
56,17.0,870.0,853.0,batch1
74,16.0,871.0,855.0,batch2
37,17.0,871.0,854.0,batch0
75,17.0,871.0,854.0,batch2
57,18.0,871.0,853.0,batch1
38,18.0,872.0,854.0,batch0
39,19.0,873.0,854.0,batch0
58,19.0,873.0,854.0,batch1
59,20.0,874.0,854.0,batch1
76,18.0,877.0,859.0,batch2
77,19.0,878.0,859.0,batch2
78,20.0,879.0,859.0,batch2
79,21.0,880.0,859.0,batch2
