JobId, startTime, endTime, duration, queueName
0,0.0,76.0,76.0,interactive0
1,10.0,187.0,177.0,interactive0
2,20.0,276.0,256.0,interactive0
3,30.0,333.0,303.0,interactive0
20,0.0,347.0,347.0,batch0
21,1.0,364.0,363.0,batch0
4,40.0,371.0,331.0,interactive0
22,2.0,373.0,371.0,batch0
23,3.0,378.0,375.0,batch0
24,4.0,382.0,378.0,batch0
25,5.0,385.0,380.0,batch0
26,6.0,389.0,383.0,batch0
27,7.0,391.0,384.0,batch0
28,8.0,394.0,386.0,batch0
29,9.0,395.0,386.0,batch0
30,10.0,396.0,386.0,batch0
31,11.0,397.0,386.0,batch0
32,12.0,399.0,387.0,batch0
33,13.0,400.0,387.0,batch0
34,14.0,401.0,387.0,batch0
5,50.0,402.0,352.0,interactive0
35,15.0,403.0,388.0,batch0
36,16.0,404.0,388.0,batch0
37,17.0,404.0,387.0,batch0
38,18.0,405.0,387.0,batch0
39,19.0,406.0,387.0,batch0
6,60.0,413.0,353.0,interactive0
7,70.0,422.0,352.0,interactive0
8,80.0,432.0,352.0,interactive0
9,90.0,438.0,348.0,interactive0
10,100.0,445.0,345.0,interactive0
11,110.0,450.0,340.0,interactive0
12,120.0,458.0,338.0,interactive0
13,130.0,461.0,331.0,interactive0
14,140.0,463.0,323.0,interactive0
15,150.0,465.0,315.0,interactive0
16,160.0,467.0,307.0,interactive0
17,170.0,468.0,298.0,interactive0
18,180.0,470.0,290.0,interactive0
19,190.0,471.0,281.0,interactive0
