JobId, startTime, endTime, duration, queueName
20,0.0,242.0,242.0,batch0
21,1.0,243.0,242.0,batch0
22,2.0,243.0,241.0,batch0
23,3.0,248.0,245.0,batch0
24,4.0,252.0,248.0,batch0
25,5.0,255.0,250.0,batch0
26,6.0,273.0,267.0,batch0
27,7.0,275.0,268.0,batch0
28,8.0,277.0,269.0,batch0
29,9.0,278.0,269.0,batch0
30,10.0,280.0,270.0,batch0
31,11.0,280.0,269.0,batch0
32,12.0,280.0,268.0,batch0
33,13.0,281.0,268.0,batch0
34,14.0,282.0,268.0,batch0
35,15.0,283.0,268.0,batch0
36,16.0,284.0,268.0,batch0
37,17.0,285.0,268.0,batch0
38,18.0,287.0,269.0,batch0
39,19.0,288.0,269.0,batch0
0,0.0,292.0,292.0,interactive0
1,10.0,355.0,345.0,interactive0
2,20.0,383.0,363.0,interactive0
3,30.0,404.0,374.0,interactive0
4,40.0,419.0,379.0,interactive0
5,50.0,430.0,380.0,interactive0
6,60.0,438.0,378.0,interactive0
7,70.0,444.0,374.0,interactive0
8,80.0,449.0,369.0,interactive0
9,90.0,453.0,363.0,interactive0
10,100.0,457.0,357.0,interactive0
11,110.0,463.0,353.0,interactive0
12,120.0,465.0,345.0,interactive0
13,130.0,471.0,341.0,interactive0
14,140.0,472.0,332.0,interactive0
15,150.0,474.0,324.0,interactive0
16,160.0,476.0,316.0,interactive0
17,170.0,477.0,307.0,interactive0
18,180.0,478.0,298.0,interactive0
19,190.0,479.0,289.0,interactive0
