JobId, startTime, endTime, duration, queueName
0,0.0,10.4,10.4,interactive0
10,0.0,17.0,17.0,batch0
20,1.0,17.0,16.0,batch1
30,2.0,17.0,15.0,batch2
1,10.0,20.6,10.600000000000001,interactive0
2,20.0,30.8,10.8,interactive0
11,1.0,34.0,33.0,batch0
21,2.0,34.0,32.0,batch1
31,3.0,34.0,31.0,batch2
3,30.0,41.0,11.0,interactive0
12,2.0,49.0,47.0,batch0
22,3.0,49.0,46.0,batch1
32,4.0,49.0,45.0,batch2
4,40.0,51.2,11.200000000000003,interactive0
5,50.0,61.4,11.399999999999999,interactive0
13,3.0,66.0,63.0,batch0
23,4.0,66.0,62.0,batch1
33,5.0,66.0,61.0,batch2
6,60.0,71.6,11.599999999999994,interactive0
7,70.0,81.8,11.799999999999997,interactive0
14,4.0,83.0,79.0,batch0
24,5.0,83.0,78.0,batch1
34,6.0,83.0,77.0,batch2
8,80.0,92.6,12.599999999999994,interactive0
15,5.0,98.0,93.0,batch0
25,6.0,98.0,92.0,batch1
35,7.0,98.0,91.0,batch2
16,6.0,111.0,105.0,batch0
26,7.0,111.0,104.0,batch1
36,8.0,111.0,103.0,batch2
17,7.0,124.0,117.0,batch0
27,8.0,124.0,116.0,batch1
37,9.0,124.0,115.0,batch2
18,8.0,137.0,129.0,batch0
28,9.0,137.0,128.0,batch1
38,10.0,137.0,127.0,batch2
9,90.0,137.6,47.599999999999994,interactive0
19,9.0,149.6,140.6,batch0
29,10.0,149.6,139.6,batch1
39,11.0,149.6,138.6,batch2
