JobId, startTime, endTime, duration, queueName
0,0.0,2.0,2.0,interactive0
1,10.0,12.0,2.0,interactive0
10,0.0,16.8,16.8,batch0
15,1.0,16.8,15.8,batch1
20,2.0,16.8,14.8,batch2
2,20.0,22.0,2.0,interactive0
3,30.0,32.0,2.0,interactive0
11,1.0,33.4,32.4,batch0
16,2.0,33.4,31.4,batch1
21,3.0,33.4,30.4,batch2
4,40.0,42.0,2.0,interactive0
12,2.0,48.2,46.2,batch0
17,3.0,48.2,45.2,batch1
22,4.0,48.2,44.2,batch2
5,50.0,52.0,2.0,interactive0
6,60.0,62.0,2.0,interactive0
13,3.0,64.8,61.8,batch0
18,4.0,64.8,60.8,batch1
23,5.0,64.8,59.8,batch2
7,70.0,72.0,2.0,interactive0
14,4.0,79.6,75.6,batch0
19,5.0,79.6,74.6,batch1
24,6.0,79.6,73.6,batch2
8,80.0,82.0,2.0,interactive0
9,90.0,92.0,2.0,interactive0
